,community,Total population,female_total,white_total,Black or African American total,Asian total,Hispanic or Latino Origin total,poverty total,population below 35 years old total,unemployment total for people over 16 years old,people over 16 years old total,school enrollment total for population over 3 years old,population over 3 years old total,Family Income Last Year,longitude,latitude,female_ratio,white_ratio,Black or African American ratio,Asian ratio,Hispanic or Latino Origin ratio,poverty ratio,population below 35 years old ratio,unemploymen ratio,school enrollment ratio
0,Allerton,36257,18555,10006,11294,1201,19455,10281,4737,2124,16997,8831,34588,282.46666666666664,-73.86564677999999,40.86434507333333,0.5117632457180682,0.2759742946189701,0.3114984692611082,0.03312463800093775,0.5365860385580715,0.2835590368756378,0.13065063298121743,0.12496322880508325,0.25531976408002777
1,Alley Pond Park,37,0,37,0,0,21,23,0,0,14,8,37,0.0,-73.7449302,40.7521109,0.0,1.0,0.0,0.0,0.5675675675675675,0.6216216216216216,0.0,0.0,0.21621621621621623
2,Annadale-Huguenot-Prince's Bay-Woodrow,39867,19668,37047,373,1397,2887,2002,4787,676,20402,9408,38555,526.6190476190476,-74.19592243333334,40.53221156190476,0.49334035668598086,0.9292648054782151,0.009356109062633256,0.035041513030827504,0.07241578247673515,0.05021697143000477,0.12007424687084556,0.033134006469953924,0.24401504344443004
3,Arden Heights-Rossville,31552,15932,28323,576,2163,3898,2868,3910,835,15632,7406,30480,665.7692307692307,-74.19582032307692,40.552792938461536,0.5049442190669371,0.8976610040567952,0.018255578093306288,0.06855349898580122,0.1235420892494929,0.09089756592292089,0.12392241379310345,0.053416069600818836,0.24297900262467192
4,Astoria (Central),48275,24990,30333,1215,9467,12057,6570,3261,2154,33176,7926,47021,246.75675675675674,-73.92305021891892,40.7645723027027,0.5176592439150699,0.6283376488865873,0.02516830657690316,0.19610564474365613,0.24975660279647852,0.1360952874158467,0.06755049197307095,0.06492645285748734,0.1685629824971821
5,Astoria (East)-Woodside (North),37606,18546,24847,1736,6638,10452,5464,3044,1429,22447,6939,36531,265.64516129032256,-73.91201120967743,40.759731596774195,0.4931659841514652,0.6607190341966708,0.04616284635430516,0.17651438600223368,0.277934372174653,0.14529596341009413,0.08094453012817103,0.06366106829420412,0.18994826311899482
6,Astoria (North)-Ditmars-Steinway,48579,24091,36768,1154,6317,9841,4526,3691,1665,29895,9669,47060,241.46511627906978,-73.9092226883721,40.77566904651163,0.4959138722493258,0.7568702525782746,0.023755120525329874,0.13003561209576153,0.20257724531176022,0.09316782972066119,0.07597933263344243,0.05569493226292022,0.2054611134721632
7,Astoria Park,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-73.9230863,40.7785586,,,,,,,,,
8,Auburndale,35425,18106,15892,703,16222,4334,2385,3516,992,18144,7651,34466,267.5151515151515,-73.78670257575757,40.75661309393939,0.5111079745942131,0.44860973888496825,0.019844742413549752,0.45792519407198307,0.12234297812279464,0.06732533521524348,0.09925194071983062,0.054673721340388004,0.22198688562641444
9,Baisley Park,44258,23333,1948,31804,2711,5317,4873,5927,2130,23594,11809,42479,303.96774193548384,-73.79079187096775,40.67989218064516,0.5272041212888066,0.04401464142076009,0.7186045460707668,0.06125446247006191,0.1201364725021465,0.110104387907271,0.13391929142753853,0.09027718911587691,0.2779961863509028
10,Barren Island-Floyd Bennett Field,24,8,24,0,0,0,0,0,0,24,0,24,8.0,-73.8903599,40.5932709,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Bath Beach,32808,16381,17067,585,11511,5821,5064,3856,950,15777,7590,31490,308.5,-74.0064864,40.60376735384615,0.49929895147524994,0.5202084857351865,0.017831016825164595,0.35085954645208484,0.17742623750304803,0.15435259692757863,0.11753230919287978,0.06021423591303797,0.2410288980628771
12,Bay Ridge,81539,42447,57826,1924,12826,14307,11709,9105,2968,43769,17506,78228,263.55405405405406,-74.0288199527027,40.626522875675676,0.5205729773482628,0.7091821091747508,0.023596070591986658,0.1572989612332749,0.17546204883552655,0.14359999509437202,0.11166435693349194,0.06781055084648953,0.22378176611954798
13,Bay Terrace-Clearview,22358,12171,15281,207,5555,2583,1840,2357,594,11066,4070,21316,336.44444444444446,-73.78859159444444,40.7812234,0.5443689059844351,0.6834690043832186,0.009258430986671437,0.2484569281688881,0.11552911709455228,0.08229716432596833,0.10542087843277574,0.0536779324055666,0.19093638581347344
14,Bayside,35309,17916,16163,752,16406,3913,2912,3592,925,19029,7933,34422,252.5142857142857,-73.76834506,40.76053781142858,0.5074060437848708,0.45775864510464753,0.02129768614234331,0.46464074315330367,0.11082160355716673,0.08247189101928687,0.1017304369990654,0.04861001629092438,0.23046307593980594
15,Bedford Park,56303,29606,9111,12322,2239,39658,16901,9524,3584,28565,15118,53116,289.15909090909093,-73.88862317727272,40.87023697954545,0.5258334369394171,0.16182086212102376,0.218851570964247,0.03976697511677886,0.7043674404561036,0.30017938653357723,0.16915617285046977,0.12546823035182916,0.28462233601927855
16,Bedford-Stuyvesant (East),84203,44970,13344,58622,2789,14642,22761,11238,4279,42462,20973,81115,242.32432432432432,-73.93174935,40.68698840135135,0.5340664821918459,0.1584741636283743,0.696198472738501,0.03312233530871821,0.1738892913554149,0.2703110340486681,0.13346317827155801,0.1007724553718619,0.2585588362201812
17,Bedford-Stuyvesant (West),79241,41290,27253,39561,3170,16224,22594,10527,4266,42434,20511,75819,249.8360655737705,-73.95037678524591,40.68816611803279,0.5210686387097588,0.34392549311593745,0.4992491260837193,0.04000454310268674,0.2047424944157696,0.2851301725117048,0.132847894398102,0.10053259178960268,0.27052585763462983
18,Bellerose,28055,14243,10532,2152,11533,6130,2760,3571,713,14128,7055,26870,261.5416666666667,-73.72581860833334,40.73405210833334,0.5076813402245589,0.3754054535733381,0.07670646943503832,0.41108536802708967,0.2184993762252718,0.09837818570664765,0.1272856888255213,0.050467157417893545,0.2625604763676963
19,Belmont,37255,20218,8774,7492,548,24066,14894,8557,2401,15630,14026,35154,270.6666666666667,-73.88715022222222,40.85530632962963,0.5426922560730103,0.23551201181049525,0.20110052341967521,0.014709434975171118,0.6459804053147229,0.3997852637229902,0.22968729029660448,0.15361484325015995,0.3989873129658076
