,community,Total population,female_total,white_total,Black or African American total,Asian total,Hispanic or Latino Origin total,poverty total,population below 35 years old total,unemployment total for people over 16 years old,people over 16 years old total,school enrollment total for population over 3 years old,population over 3 years old total,Family Income Last Year,longitude,latitude,female_ratio,white_ratio,Black or African American ratio,Asian ratio,Hispanic or Latino Origin ratio,poverty ratio,population below 35 years old ratio,unemploymen ratio,school enrollment ratio
0,Allerton,35964,18204,9056,11223,1306,20002,10159,4765,2328,17015,9177,34393,285.46666666666664,-73.86564677999999,40.86434507333333,0.5061728395061729,0.25180736291847405,0.31206206206206205,0.03631409186964742,0.5561672783895006,0.28247692136581026,0.13249360471582694,0.1368204525418748,0.26682755211816356
1,Alley Pond Park,37,0,33,4,0,17,16,0,0,17,12,37,0.0,-73.7449302,40.7521109,0.0,0.8918918918918919,0.10810810810810811,0.0,0.4594594594594595,0.43243243243243246,0.0,0.0,0.32432432432432434
2,Annadale-Huguenot-Prince's Bay-Woodrow,39135,19585,35832,418,1668,3046,1938,5068,712,19594,9656,37919,518.3333333333334,-74.19578812380954,40.53216692380953,0.5004471700523828,0.9155998466845535,0.010680976108342916,0.04262169413568417,0.07783314168902516,0.04952088922958988,0.12950044717005238,0.036337654383995104,0.25464806561354464
3,Arden Heights-Rossville,31233,15865,27998,539,2108,3868,3202,3914,828,15298,7362,30105,666.1538461538462,-74.19582032307692,40.552792938461536,0.507956328242564,0.8964236544680306,0.01725738801908238,0.06749271603752441,0.12384337079371179,0.10251977075529088,0.12531617199756667,0.05412472218590665,0.2445440956651719
4,Astoria (Central),48495,25299,31378,1228,8956,12105,6743,3383,2006,33099,8010,47037,255.21621621621622,-73.92305021891892,40.7645723027027,0.5216826476956388,0.6470357768842149,0.025322198164759252,0.18467883286936798,0.24961336220228889,0.13904526239818538,0.0697597690483555,0.06060606060606061,0.17029147267045092
5,Astoria (East)-Woodside (North),38183,18895,25031,1807,7106,10383,5836,3323,1663,22931,7294,37193,267.03225806451616,-73.91201120967743,40.759731596774195,0.4948537307178587,0.6555535185815677,0.047324725663253284,0.18610376345494067,0.27192729748841105,0.15284288819631772,0.08702825864913705,0.07252191356678732,0.19611217164520206
6,Astoria (North)-Ditmars-Steinway,48179,24270,36630,978,6096,10184,5010,3932,1858,29566,9815,46739,246.32558139534885,-73.9092226883721,40.77566904651163,0.503746445546815,0.7602897527968617,0.020299300525125054,0.12652815542041138,0.21137840137819383,0.10398721434649952,0.08161232072064592,0.06284245417033078,0.2099959348723764
7,Astoria Park,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-73.9230863,40.7785586,,,,,,,,,
8,Auburndale,35377,18130,16295,500,15742,4785,2327,3712,1065,17920,8025,34442,269.7878787878788,-73.78670505757576,40.7566127,0.5124798597959126,0.46061000084800857,0.0141334765525624,0.44497837578087457,0.13525737060802215,0.0657771998756254,0.10492692992622325,0.05943080357142857,0.23300040648045992
9,Baisley Park,42795,22565,2008,32011,2174,5500,5584,5930,2328,22679,11687,41105,300.6774193548387,-73.7907919,40.67989234838709,0.5272812244421077,0.04692136931884566,0.7480079448533707,0.050800327141021145,0.12851968687930834,0.1304825330061923,0.1385675896716906,0.1026500286608757,0.28432064225763287
10,Barren Island-Floyd Bennett Field,16,8,16,0,0,0,0,0,0,16,0,16,4.0,-73.8903599,40.5932709,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Bath Beach,33163,16477,17029,547,12090,5861,4722,3657,1128,15985,7666,31812,315.65384615384613,-74.0064864,40.60376735384615,0.49684889786810604,0.513493954105479,0.01649428580044025,0.364562916503332,0.17673310617254168,0.14238760063926664,0.11027349757259597,0.07056615577103535,0.2409782472023136
12,Bay Ridge,81190,42334,58309,1724,12174,14390,12418,9282,3282,43229,17806,77805,262.1081081081081,-74.0288199527027,40.626522875675676,0.5214188939524572,0.7181795787658579,0.021234142135731,0.14994457445498213,0.17723857617933242,0.15294987067372828,0.1143244241901712,0.07592125656388073,0.2288541867489236
13,Bay Terrace-Clearview,21945,11746,15083,350,4878,3065,1562,2312,657,10741,3835,21113,331.1111111111111,-73.78859159444444,40.7812234,0.5352472089314194,0.6873091820460242,0.01594896331738437,0.22228298017771703,0.139667350193666,0.07117794486215538,0.10535429482797903,0.061167489060608884,0.18164164258987353
14,Bayside,34829,17722,16234,661,15788,4183,2612,3781,1124,18773,8087,33863,255.22857142857143,-73.76834506285715,40.76053781142858,0.5088288495219501,0.4661058313474403,0.018978437508972407,0.4533004105773924,0.12010106520428379,0.07499497545149157,0.10855895948778317,0.05987322218079156,0.23881522605793934
15,Bedford Park,54235,28575,8708,12110,2375,37437,16268,8845,3737,27467,14627,51426,277.3863636363636,-73.88862317727272,40.87023697954545,0.5268737899880152,0.16056052364709136,0.2232875449433023,0.043790909929012634,0.6902738084262929,0.29995390430533786,0.16308656771457547,0.1360541740998289,0.2844281102944036
16,Bedford-Stuyvesant (East),82637,44368,11748,59666,2664,13918,23727,11572,5171,40966,21545,79413,242.21621621621622,-73.93174935,40.68698840135135,0.5369023560874668,0.1421639217299757,0.7220252429299224,0.03223737550975955,0.16842334547478732,0.28712320147149584,0.14003412514975133,0.12622662695894157,0.2713031871356075
17,Bedford-Stuyvesant (West),77890,40803,25720,40066,3155,15496,23512,10683,5165,41894,21109,74670,251.01639344262296,-73.95037678524591,40.68816611803279,0.5238541532931057,0.33020926948260365,0.5143920914109642,0.04050584157144691,0.1989472332776993,0.30186159969187315,0.13715496212607522,0.12328734424977324,0.2826972010178117
18,Bellerose,26916,13799,10446,1897,11262,5502,2952,3800,743,13116,6730,25692,256.75,-73.72581860833334,40.73405210833334,0.5126690444345371,0.3880962995987517,0.07047852578392035,0.41841283994650025,0.20441373160945162,0.10967454302273741,0.1411799673056918,0.05664836840500152,0.2619492449011365
19,Belmont,36821,19138,8577,7196,561,23466,15664,8276,2318,15226,14294,34748,260.4074074074074,-73.88715022222222,40.85530632962963,0.5197577469378887,0.23293772575432498,0.19543195459113005,0.015235870834578094,0.6372993672089297,0.4254094131066511,0.2247630428288205,0.15223959017470118,0.41136180499597097
20,Bensonhurst,99879,51000,49076,843,40822,14272,19227,12212,4453,50466,22720,95484,317.4342105263158,-73.99244167368421,40.61283605263158,0.5106178475955907,0.4913545389921805,0.008440212657315352,0.4087145445989647,0.14289290040949548,0.19250292854353768,0.12226794421249712,0.08823762533190663,0.23794562439780487
21,Borough Park,82988,40173,69470,718,6750,8421,32781,18151,1625,29652,30048,75816,276.8225806451613,-73.98953701774194,40.63357570322581,0.48408203595700583,0.8371089796115101,0.008651853279992287,0.0813370607798718,0.10147250204848894,0.3950089169518485,0.21871836892080782,0.05480237420747336,0.39632795188350745
22,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,23799,11644,21107,933,517,2114,1599,2886,642,10933,5839,23161,290.8421052631579,-73.85522107894737,40.575836042105266,0.48926425480062186,0.8868860036135973,0.039203327870918944,0.021723601832009748,0.08882726164964914,0.06718769696205723,0.12126559939493256,0.05872130247873411,0.25210483139760803
23,Brighton Beach,29854,15691,23179,337,3835,3625,8677,2932,1080,13225,6034,29054,330.22727272727275,-73.96089836363636,40.57890471818182,0.5255912105580491,0.7764118711060495,0.011288269578615931,0.12845849802371542,0.12142426475514169,0.29064781938768675,0.0982112949688484,0.08166351606805293,0.2076822468506918
24,Bronx Park,1468,757,417,404,23,951,302,184,71,735,347,1406,304.0,-73.8742257,40.860046,0.5156675749318801,0.2840599455040872,0.27520435967302453,0.015667574931880108,0.6478201634877384,0.20572207084468666,0.12534059945504086,0.09659863945578231,0.24679943100995733
25,Brooklyn Heights,24140,12138,18505,1290,2360,1949,2291,2392,545,14418,5033,23106,257.57894736842104,-73.99488848421052,40.695704210526316,0.5028169014084507,0.7665700082850041,0.05343827671913836,0.09776304888152444,0.08073736536868269,0.09490472245236123,0.09908864954432477,0.0377999722569011,0.21782221068120836
26,Brooklyn Navy Yard,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-73.9716023,40.7014969,,,,,,,,,
27,Brownsville,56368,32924,3352,45399,974,11925,21947,9073,3303,21627,16007,53655,262.0208333333333,-73.91100528958334,40.663939210416665,0.5840902639795629,0.059466363894408174,0.8054037751915981,0.0172793074084587,0.21155620210048254,0.3893521146749929,0.16096011921657677,0.1527257594673325,0.2983319355139316
28,Bushwick (East),61376,31820,22039,25089,2031,35472,16689,8886,4616,32249,15973,58949,251.87755102040816,-73.91334259795919,40.691501630612244,0.5184436913451512,0.35908172575599584,0.408775417101147,0.03309111053180396,0.5779457768508863,0.2719141032325339,0.14477971845672574,0.14313622127817918,0.27096303584454356
29,Bushwick (West),57399,27742,29105,10108,4074,37284,16104,7426,3855,34071,14608,55233,256.5238095238095,-73.92451286190476,40.70096577857143,0.4833185247129741,0.5070645830066726,0.1761006289308176,0.07097684628652066,0.6495583546751685,0.280562379135525,0.12937507622084007,0.11314607730914854,0.26447956837397935
30,Calvary & Mount Zion Cemeteries,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-73.9113356,40.7342754,,,,,,,,,
31,Calvert Vaux Park,970,560,814,12,141,27,186,88,16,427,214,970,235.0,-73.9936488,40.5853191,0.5773195876288659,0.8391752577319588,0.012371134020618556,0.14536082474226805,0.027835051546391754,0.19175257731958764,0.09072164948453608,0.03747072599531616,0.22061855670103092
32,Cambria Heights,19546,10723,417,18093,138,1015,751,2221,713,10334,4521,19076,233.85,-73.73608349999999,40.694964649999996,0.5486032947917733,0.021334288345441522,0.9256625396500563,0.007060268085541799,0.05192878338278932,0.038422183566970226,0.113629387086872,0.06899554867427908,0.23699937093730342
33,Canarsie,83271,46417,4912,72701,2496,4477,11270,12013,3584,44750,24508,80527,383.62264150943395,-73.90167183018868,40.639483073584906,0.5574209508712517,0.058988123116090835,0.8730650526593893,0.029974420866808373,0.053764215633293706,0.1353412352439625,0.14426390940423436,0.08008938547486033,0.3043451264793175
34,Canarsie Park & Pier,5096,3082,402,3832,13,990,1607,924,391,2181,1701,4869,677.0,-73.88900315000001,40.63078295,0.6047880690737834,0.07888540031397175,0.7519623233908949,0.002551020408163265,0.19427001569858712,0.3153453689167975,0.1813186813186813,0.1792755616689592,0.34935304990757854
35,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,59857,31733,38148,8505,3437,13514,8964,6705,2985,35294,11499,56922,233.25,-73.996531345,40.680392,0.5301468499924821,0.6373189434819654,0.1420886446029704,0.05742018477371068,0.22577142188883506,0.1497569206609085,0.11201697378752694,0.0845752819176064,0.20201328133234953
36,Castle Hill-Unionport,38582,20714,11612,9616,3638,24687,11141,5870,2090,17621,10132,37073,275.71875,-73.85155666874999,40.825391965625,0.5368824840599243,0.300969363952102,0.24923539474366285,0.09429267534083251,0.639857964854077,0.2887615986729563,0.1521434865999689,0.1186084785199478,0.27329862703315083
37,Central Park,5,5,2,2,0,2,3,3,0,0,2,5,0.0,-73.9668472,40.7813172,1.0,0.4,0.4,0.0,0.4,0.6,0.6,,0.4
38,Chelsea-Hudson Yards,62235,29925,44401,4578,8706,9943,8226,4279,2264,43905,9692,60919,259.7,-73.9995555575,40.74589823,0.48083875632682577,0.7134409897967382,0.07355989395034948,0.1398891299108219,0.15976540531855066,0.132176428054953,0.06875552341929782,0.05156588087917094,0.15909650519542343
39,Chinatown-Two Bridges,41146,21514,5910,3243,27072,7464,13493,3660,1528,17946,7576,40331,367.7692307692308,-73.99357444615384,40.713083653846155,0.5228697807806348,0.14363486122587857,0.07881689593156078,0.6579497399504205,0.18140280950760707,0.3279298109172216,0.08895153842414816,0.08514432185445224,0.18784557784334632
40,Claremont Park,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-73.9075041,40.8404231,,,,,,,,,
41,Claremont Village-Claremont (East),25873,14166,1981,12180,17,14263,12968,5461,1580,8849,8850,24300,365.53333333333336,-73.90472176,40.83582300666667,0.5475205813009701,0.07656630464190468,0.4707610250067638,0.0006570556178255324,0.5512696633556217,0.5012174854095003,0.2110694546438372,0.1785512487286699,0.36419753086419754
42,Clinton Hill,26902,14265,12302,10511,1690,2838,3437,3396,1260,16212,6653,25894,189.15384615384616,-73.96483677307693,40.68846126538461,0.5302579733848785,0.4572894208609025,0.3907144450226749,0.06282060813322429,0.10549401531484648,0.1277600178425396,0.12623596758605307,0.07772020725388601,0.2569321078242064
43,Co-op City,39131,22150,6141,24495,413,11205,3016,4167,1819,19344,8869,38252,613.3333333333334,-73.82581714666667,40.8703459,0.5660473793156321,0.1569343998364468,0.6259742914824563,0.010554291993560092,0.2863458638930771,0.07707444225805628,0.10648846183332908,0.0940343258891646,0.23185715779567082
44,College Point,29721,14859,11274,647,9377,10624,3820,3661,868,14203,7051,28603,384.6666666666667,-73.84364450555556,40.78435539444445,0.4999495306349046,0.3793277480569294,0.0217691194778103,0.3155008243329632,0.35745768984892834,0.12852864977625247,0.12317889707614145,0.061113849186791525,0.24651260357305177
45,Concourse-Concourse Village,65643,35330,6521,24023,1731,40664,22557,10282,3611,29306,18759,63359,298.57142857142856,-73.91851096734695,40.82978240816326,0.5382142802736012,0.0993403714028914,0.3659643831025395,0.026369909967551758,0.6194719924439773,0.34363146108495957,0.1566351324589065,0.12321708865078823,0.2960747486544926
46,Coney Island-Sea Gate,45431,25211,27394,9623,3290,8205,11811,5808,2741,19498,9802,44197,329.62857142857143,-73.99031941142857,40.576813345714285,0.5549294534568907,0.6029803438180977,0.2118157205432414,0.07241751227135657,0.18060355264026764,0.25997666791397944,0.12784222227113645,0.1405785208739358,0.22177975880715886
47,Corona,72576,33962,31730,10536,9610,48732,15320,10279,2165,36109,18582,68574,419.30555555555554,-73.85995240555556,40.74276962222222,0.4679508377425044,0.43719686948853614,0.14517195767195767,0.1324129188712522,0.6714616402116402,0.21108906525573193,0.14163084215167548,0.05995735135284832,0.27097733834981186
48,Crotona Park,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-73.8949709,40.8385645,,,,,,,,,
49,Crotona Park East,27662,15086,2906,9217,319,18667,11310,5299,1786,12079,7831,26259,334.0,-73.88920242105263,40.832515873684216,0.5453690984021401,0.10505386450726628,0.333200780854602,0.011532065649627648,0.6748246692213145,0.4088641457595257,0.19156243221748245,0.14785992217898833,0.29822156213107887
50,Crown Heights (North),74081,40263,13928,50149,2657,8949,20019,8699,3687,40184,17483,71342,266.8070175438597,-73.94267989122807,40.67380625087719,0.5434996827796601,0.18801042102563412,0.6769482053428004,0.03586614651530082,0.12080020518081559,0.270231233379679,0.11742552071381326,0.09175293649213617,0.24505901152196463
51,Crown Heights (South),55392,30105,15326,35678,781,5376,11617,8704,3291,28278,15699,52611,332.4594594594595,-73.9448132,40.666802170270266,0.543490034662045,0.27668255343731946,0.6441002310803005,0.01409950895436164,0.09705372616984402,0.2097234257654535,0.15713460427498555,0.11638022490982389,0.29839767349033475
52,Cunningham Park,47,20,39,0,8,0,0,0,0,26,0,47,12.0,-73.7687946,40.7339687,0.425531914893617,0.8297872340425532,0.0,0.1702127659574468,0.0,0.0,0.0,0.0,0.0
53,Cypress Hills,40450,21067,15121,11599,2489,27296,9557,6986,1392,18594,11271,38594,332.2142857142857,-73.88093918214285,40.682891160714284,0.5208158220024722,0.3738195302843016,0.28674907292954266,0.061532756489493204,0.6748084054388134,0.23626699629171818,0.1727070457354759,0.07486285898676992,0.29204021350468984
54,Douglaston-Little Neck,25738,13847,13925,525,9656,3064,1921,2863,726,13385,5516,24840,320.04761904761904,-73.73654121904762,40.76456439047619,0.5379982904654597,0.5410288289688399,0.020397855311212992,0.3751651254953765,0.11904576890201259,0.07463672391017173,0.11123630429714819,0.05423982069480762,0.22206119162640903
55,Downtown Brooklyn-DUMBO-Boerum Hill,31102,15655,17147,5834,4029,4947,6039,3015,1537,19087,5934,29706,260.96,-73.985916388,40.692567084,0.5033438364092341,0.5513150279724777,0.18757636164876856,0.12954150858465693,0.1590572953507813,0.1941675776477397,0.09693910359462414,0.0805260124692199,0.19975762472227832
56,Dyker Beach Park,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-74.0189335,40.6111481,,,,,,,,,
57,Dyker Heights,44492,22992,22147,400,19010,4952,8140,5750,1834,21815,10698,42763,286.5135135135135,-74.00998253513512,40.62387947027027,0.5167670592466062,0.49777488087746113,0.008990380293086398,0.42726782342893105,0.1113009080284096,0.18295423896430818,0.12923671671311696,0.08407059362823745,0.2501695390875289
58,East Elmhurst,29030,14553,6970,5705,3497,17863,5207,3799,1185,14327,7440,28028,273.85714285714283,-73.87151903333333,40.762815571428575,0.5013089906992766,0.24009645194626247,0.19652084050981744,0.12046159145711333,0.6153289700310024,0.1793661729245608,0.13086462280399586,0.08271096531025336,0.2654488368774083
59,East Flatbush-Erasmus,44342,24860,1856,38350,869,4272,8244,6239,2201,22047,12004,42702,309.27272727272725,-73.95010293030303,40.64823463636363,0.5606422804564521,0.04185647918452032,0.8648685219430788,0.019597672635424654,0.09634206846781831,0.18591854223986287,0.14070181768977494,0.09983217671338504,0.28111095499039856
60,East Flatbush-Farragut,37908,22156,1405,33773,538,2584,4528,5459,1421,19413,9873,36570,331.92857142857144,-73.93940263928572,40.63932972857143,0.5844676585417327,0.037063416693046324,0.8909201224016039,0.014192254932995673,0.06816503112799409,0.11944708241004537,0.1440065421546903,0.07319837222479782,0.26997538966365875
61,East Flatbush-Remsen Village,38908,21724,1543,35217,439,3230,8517,5117,2027,19291,9460,37434,317.9655172413793,-73.91959943448276,40.65737874137931,0.5583427572735684,0.03965765395291457,0.9051351907062815,0.011283026626914773,0.08301634625269867,0.21890099722422124,0.1315153695898016,0.1050749053962988,0.2527114387989528
62,East Flatbush-Rugby,39926,22499,886,37030,585,2229,7049,5345,1867,19604,10472,38497,256.60526315789474,-73.93008437631579,40.65224593947368,0.563517507388669,0.022191053448880428,0.9274658117517407,0.014652106396834143,0.055828282322296245,0.17655162049792114,0.13387266442919402,0.09523566619057336,0.2720211964568668
63,East Flushing,31066,15538,6277,1165,19440,5839,5166,2792,826,15404,6614,30367,327.2608695652174,-73.81054566956522,40.75467942608695,0.500160947659821,0.2020536921393163,0.03750080473829911,0.6257645013841499,0.18795467713899439,0.16629112212708427,0.08987317324406104,0.05362243573097897,0.21780221951460466
64,East Harlem (North),64173,34514,12924,27339,3634,29998,23833,8536,2569,27203,17591,61983,329.9268292682927,-73.93812280487805,40.80116617804878,0.5378274352141866,0.2013931092515544,0.42602028890654947,0.05662817695915728,0.4674551602698954,0.3713867202717654,0.13301544263163637,0.09443811344337022,0.28380362357420585
65,East Harlem (South),59777,32390,24080,16126,5875,25873,15937,7176,3279,29120,15528,58144,337.5135135135135,-73.9459015027027,40.79046942972973,0.5418471987553741,0.4028305200997039,0.2697693092661057,0.0982819479063854,0.4328253341586229,0.26660755809090453,0.12004617160446325,0.11260302197802198,0.2670610897083104
66,East Midtown-Turtle Bay,39960,21795,32935,779,5375,2524,1990,1832,861,27303,3966,38777,222.74285714285713,-73.96654664571429,40.75637915142857,0.5454204204204204,0.8241991991991992,0.019494494494494495,0.13450950950950952,0.06316316316316316,0.0497997997997998,0.04584584584584585,0.03153499615426876,0.10227712303685174
67,East New York (North),38801,21469,5749,24963,740,13048,13204,7030,2024,16190,11516,36752,208.78048780487805,-73.88874834390244,40.67184922195122,0.5533104816886163,0.14816628437411408,0.6433597072240406,0.01907167341047911,0.33627999278369114,0.3403005077188732,0.18118089739955157,0.1250154416306362,0.3133434915106661
68,East New York-City Line,42683,22580,7674,27062,3301,12297,13572,6853,1908,18021,12028,40720,379.34615384615387,-73.86764467307692,40.67400533461539,0.529016235972167,0.17979054893048754,0.6340229131035775,0.07733758170700279,0.28810064897031606,0.31797202633366917,0.1605557247616147,0.10587647744298319,0.29538310412573676
69,East New York-New Lots,49512,27617,4620,40225,233,9507,15451,8174,2914,22115,14723,47666,318.2432432432432,-73.88746544054054,40.661725018918915,0.5577839715624495,0.09331071255453223,0.8124293100662465,0.004705929875585717,0.19201405719825496,0.3120657618355146,0.16509129100016157,0.13176576983947547,0.30887844585238955
70,East Village,70593,36206,43012,6174,9937,16857,14947,7174,2653,42326,15225,69260,248.5681818181818,-73.98330327954545,40.726340572727274,0.5128837136826597,0.6092955392177695,0.0874590965109855,0.14076466505177568,0.23879138158174323,0.21173487456263368,0.1016248069921947,0.06268014931720456,0.2198238521513139
71,East Williamsburg,52615,26952,27857,8791,6167,19922,12764,4557,2899,31069,10451,51353,241.27906976744185,-73.94207174418605,40.710559997674416,0.5122493585479426,0.5294497766796541,0.1670816307136748,0.11720992112515442,0.3786372707402832,0.24259241661123254,0.08661028223890525,0.09330844249895394,0.20351293984772068
72,Eastchester-Edenwald-Baychester,51475,29153,4046,36988,1745,11415,8665,8313,2952,25003,15137,49792,264.1111111111111,-73.84116194666667,40.88094930222223,0.566352598348713,0.07860126274890723,0.7185624089363769,0.03389995143273434,0.22175813501699854,0.16833414278776104,0.16149587178241864,0.11806583210014798,0.3040046593830334
73,Elmhurst,97059,48157,28690,2213,48565,38434,19528,10874,3157,51350,20997,93963,375.42105263157896,-73.87873082105264,40.741549489473684,0.49616212819006994,0.2955934019513904,0.022800564605034053,0.500365756910745,0.39598594669221815,0.20119720994446677,0.1120349478152464,0.06148003894839338,0.22346029820248395
74,Far Rockaway-Bayswater,58696,31737,23689,26427,1959,15918,12060,10206,2295,25191,17030,55145,420.2068965517241,-73.75541119655173,40.6013338,0.5407012402889464,0.40358797873790375,0.45023510971786834,0.03337535777565762,0.2711939484803053,0.205465449093635,0.17387896960610605,0.09110396570203644,0.30882219602865174
75,Ferry Point Park-St. Raymond Cemetery,151,72,0,0,0,151,31,12,14,108,43,151,47.0,-73.8326343,40.8164643,0.4768211920529801,0.0,0.0,0.0,1.0,0.2052980132450331,0.07947019867549669,0.12962962962962962,0.2847682119205298
76,Financial District-Battery Park City,45737,23523,32411,1190,9734,3960,3557,4092,1203,31635,8880,43730,494.05555555555554,-74.00911349444443,40.707509961111114,0.514310077180401,0.7086385202352581,0.026018322146183614,0.2128255023285305,0.08658197957889674,0.07777073266720598,0.08946804556485996,0.03802750118539592,0.20306425794648983
77,Flatbush,68232,37304,10564,44388,2366,13793,12564,10224,3205,35686,18463,65020,404.2368421052632,-73.95801121578948,40.64319432894737,0.5467229452456326,0.15482471567592918,0.650545198733732,0.034675811935748625,0.20214855199906204,0.18413647555399226,0.14984171649665845,0.0898111304152889,0.28395878191325746
78,Flatbush (West)-Ditmas Park-Parkville,42982,22301,19043,8855,8701,7269,9816,6358,1603,20751,11539,41051,299.09375,-73.966220675,40.636253846875,0.5188450979479782,0.44304592620166583,0.20601647201153972,0.20243357684612162,0.1691173049183379,0.22837466846586943,0.14792238611511796,0.07724928919088236,0.28108937662907113
79,Flatlands,72540,39093,13108,52744,3024,6199,7974,10107,3717,37530,21077,70439,321.1454545454545,-73.93078321272728,40.62592093636364,0.5389164598842018,0.18070030328094844,0.7271022883926109,0.04168734491315137,0.085456299972429,0.10992555831265509,0.13933002481389578,0.09904076738609113,0.2992234415593634
80,Flushing Meadows-Corona Park,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-73.8411089,40.7407675,,,,,,,,,
81,Flushing-Willets Point,61067,32699,7865,2616,44059,8903,16129,6034,1876,29772,12496,59350,391.60526315789474,-73.82758134210526,40.75866242894737,0.535461050976796,0.12879296510390228,0.042838194114660944,0.7214862364288405,0.14579068891545352,0.2641197373376783,0.09880950431493278,0.06301222625285503,0.210547598989048
82,Fordham Heights,32509,16951,3219,8625,193,23451,13705,5236,1960,15246,9915,30962,310.95652173913044,-73.89921226086958,40.858583286956524,0.5214248361992063,0.09901873327386262,0.26531114460610905,0.0059368174966932235,0.7213694669168538,0.42157556369005506,0.16106309022116952,0.1285583103764922,0.3202312512111621
