,community,Total population,female_total,white_total,Black or African American total,Asian total,Hispanic or Latino Origin total,poverty total,population below 35 years old total,unemployment total for people over 16 years old,people over 16 years old total,school enrollment total for population over 3 years old,population over 3 years old total,Family Income Last Year,longitude,latitude,female_ratio,white_ratio,Black or African American ratio,Asian ratio,Hispanic or Latino Origin ratio,poverty ratio,population below 35 years old ratio,unemploymen ratio,school enrollment ratio
244,Washington Heights (South),83914,42256,23903,13550,3236,60712,17298,8436,3935,48449,18429,81582,327.59574468085106,-73.94016131702128,40.840429706382984,0.5035631718187669,0.2848511571370689,0.16147484329194176,0.03856329098839288,0.7235026336487356,0.20613961913387516,0.10053149653216388,0.0812194266135524,0.22589541810693536
245,West Farms,18539,9931,4040,6030,212,13630,7302,3093,1346,8272,5448,17571,312.14285714285717,-73.88033214285714,40.84314116428572,0.5356815362209396,0.21791898160634338,0.32526026215006204,0.011435352500134851,0.7352068612115,0.39387237715087114,0.16683747774960894,0.1627176015473888,0.31005634283763017
246,West New Brighton-Silver Lake-Grymes Hill,33504,17325,21729,6192,1948,7706,4877,4795,609,15852,8732,32197,287.25,-74.10426348571427,40.629623925,0.517102435530086,0.6485494269340975,0.18481375358166188,0.05814231136580707,0.23000238777459409,0.1455647086914995,0.14311723973256923,0.03841786525359576,0.27120539180669007
247,West Village,33204,16944,29242,539,1731,2243,2202,2224,1137,23396,4172,32328,181.10714285714286,-74.0043486,40.73508663928572,0.5102999638597759,0.8806770268642332,0.016232983977833997,0.052132273220093964,0.0675521021563667,0.06631731116732924,0.0669798819419347,0.04859805094888015,0.12905221479831724
248,Westchester Square,15136,8141,3101,2123,3292,8923,3567,2352,696,6983,3836,14426,258.9230769230769,-73.84782793076923,40.83911823076923,0.5378567653276956,0.20487579281183932,0.14026162790697674,0.21749471458773784,0.5895216701902748,0.23566331923890063,0.1553911205073996,0.09967062866962624,0.2659087758214335
249,Westerleigh-Castleton Corners,30635,15121,24643,1140,3395,4785,2224,3489,614,15356,7061,29808,370.3181818181818,-74.1298166,40.61739621818182,0.49358576791251835,0.804406724334911,0.03721233882813775,0.11082095642239269,0.1561938958707361,0.07259670311734943,0.11388934225559001,0.039984370929929666,0.2368827160493827
250,Whitestone-Beechhurst,28095,14790,20154,140,6177,3806,1492,3084,786,13789,5939,27154,342.6818181818182,-73.8107535,40.78747196818182,0.5264281900694073,0.7173518419647624,0.004983093077059975,0.2198611852642819,0.13546894465207332,0.05310553479266773,0.10977042178323546,0.05700195808252955,0.21871547469986005
251,Williamsbridge-Olinville,61134,33434,6958,41875,963,18152,12796,9301,3386,30667,16966,58255,261.8269230769231,-73.86090385384615,40.880497857692305,0.5468969804037034,0.11381555272025387,0.6849707200575784,0.015752281872607715,0.2969215166683024,0.20931069453986326,0.15214119802401282,0.1104118433495288,0.2912368037078362
252,Williamsburg,57774,28620,40852,3212,4070,18227,9120,5291,1710,37355,10282,55484,302.87179487179486,-73.95810302307692,40.71281505641026,0.4953785439817219,0.7071000796205906,0.05559594281164538,0.07044691383667394,0.3154879357496452,0.1578564752310728,0.09158098798767612,0.045777004417079374,0.1853146853146853
253,Windsor Terrace-South Slope,23097,11857,18067,670,2361,3020,1642,2834,500,13054,5394,22133,259.1818181818182,-73.97980554090908,40.656361827272725,0.5133567129930294,0.7822227994977703,0.029008096289561414,0.10222106767112613,0.1307529116335455,0.07109148374247738,0.1226999177382344,0.038302436034931824,0.24370848958568653
254,Woodhaven,40462,20255,16792,1730,7992,23953,4154,5119,1314,21231,9424,38937,340.1111111111111,-73.85790631851852,40.69157412592593,0.5005931491275765,0.4150066729276852,0.042756166279472096,0.19751865948297168,0.5919875438683209,0.10266422816469774,0.12651376600266917,0.06189063162356931,0.2420320004109202
255,Woodside,47511,23623,20435,738,20825,15942,4819,4660,1137,25944,9729,46244,332.3125,-73.90193004375,40.743440934375,0.49721117214960747,0.43011092168129483,0.015533244932752415,0.43831954705226156,0.3355433478562859,0.10142914272484267,0.09808254930437162,0.043825161887141535,0.2103840498226797
256,Yankee Stadium-Macombs Dam Park,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-73.9264722,40.8299343,,,,,,,,,
