,community,Total population,female_total,white_total,Black or African American total,Asian total,Hispanic or Latino Origin total,poverty total,population below 35 years old total,unemployment total for people over 16 years old,people over 16 years old total,school enrollment total for population over 3 years old,population over 3 years old total,Family Income Last Year,longitude,latitude,female_ratio,white_ratio,Black or African American ratio,Asian ratio,Hispanic or Latino Origin ratio,poverty ratio,population below 35 years old ratio,unemploymen ratio,school enrollment ratio
0,Allerton,37929,19245,11240,11021,1255,20536,10509.0,5075,2143.0,17608.0,9496,35972,292.03333333333336,-73.86564677999999,40.86434507333333,0.5073953966621846,0.29634316749716577,0.29056922144005903,0.033088138363784964,0.5414326768435762,0.27707031558965434,0.1338026312320388,0.12170604270786006,0.26398309796508396
1,Alley Pond Park,40,0,40,0,0,15,23.0,0,0.0,17.0,8,40,0.0,-73.7449302,40.7521109,0.0,1.0,0.0,0.0,0.375,0.575,0.0,0.0,0.2
2,Annadale-Huguenot-Prince's Bay-Woodrow,40970,20216,37331,468,1679,3108,2232.0,4822,528.0,20550.0,9707,39621,532.8095238095239,-74.19596707619047,40.53241240476191,0.4934342201610935,0.9111789113985843,0.011422992433487917,0.040981205760312424,0.07586038564803514,0.05447888699048084,0.11769587503051013,0.025693430656934305,0.24499634032457535
3,Arden Heights-Rossville,31550,16004,28725,478,1828,4103,2857.0,3940,749.0,15408.0,7397,30415,671.2307692307693,-74.19582026923078,40.552792938461536,0.5072583201267828,0.910459587955626,0.015150554675118858,0.057939778129952456,0.1300475435816165,0.09055467511885895,0.1248811410459588,0.04861111111111111,0.24320236725300015
4,Astoria (Central),46109,24202,29621,1323,8661,10843,5509.0,2987,1886.0,31723.0,7012,44972,242.75675675675674,-73.92305021891892,40.7645723027027,0.5248866815589147,0.6424125441887701,0.028692879914984058,0.1878375154525147,0.2351601639593138,0.11947775922271141,0.06478127914290052,0.05945213252214482,0.15591923863737436
5,Astoria (East)-Woodside (North),35974,18384,23849,1699,5894,10058,4447.0,2988,1326.0,21745.0,6709,35134,259.5483870967742,-73.91201120967743,40.759731596774195,0.5110357480402513,0.662951020181242,0.047228553955634626,0.16384055150942348,0.27959081558903653,0.12361705676321788,0.08305998776894424,0.06097953552540814,0.19095463084191952
6,Astoria (North)-Ditmars-Steinway,48235,23888,36556,1435,5569,10072,4742.0,3751,1340.0,29483.0,9371,46838,244.51162790697674,-73.9092226883721,40.77566904651163,0.49524204415880585,0.7578729138592308,0.029750181403545142,0.11545558204623199,0.20881102933554474,0.09831035555094848,0.07776510832383124,0.045449920293050235,0.20007259063153848
7,Astoria Park,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,-73.9230863,40.7785586,,,,,,,,,
8,Auburndale,34297,17477,14490,636,16487,4311,2514.0,3190,764.0,17335.0,6804,33321,266.6060606060606,-73.78670267878788,40.75661313636363,0.5095780972096685,0.4224859317141441,0.01854389596757734,0.4807125987695717,0.12569612502551245,0.07330087179636703,0.0930110505292008,0.04407268531871936,0.20419555235437112
9,Baisley Park,42912,22597,1642,30752,2890,5098,4962.0,5456,1859.0,23048.0,11183,41214,305.64516129032256,-73.79079187096775,40.67989218064516,0.5265892990305742,0.03826435495898583,0.7166293810589113,0.06734712900820283,0.11880126771066368,0.11563199105145414,0.12714392244593586,0.08065775772301284,0.2713398359780657
10,Barren Island-Floyd Bennett Field,24,8,24,0,0,0,0.0,0,0.0,24.0,0,24,8.0,-73.8914194,40.5935154,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Bath Beach,33020,16476,16429,482,12331,5975,5232.0,3811,934.0,16047.0,7679,31572,313.65384615384613,-74.00648935384615,40.60376876153846,0.4989703210175651,0.49754694124772864,0.014597213809812236,0.37344033918837066,0.18095093882495458,0.15844942459115688,0.11541490006056936,0.05820402567458092,0.24322184213860382
12,Bay Ridge,80500,41645,56443,2184,12942,14594,11883.0,9104,2476.0,42961.0,16959,77118,260.0945945945946,-74.02882001621622,40.62652282702703,0.5173291925465838,0.7011552795031056,0.027130434782608695,0.16077018633540371,0.1812919254658385,0.14761490683229814,0.11309316770186335,0.05763366774516422,0.2199097486968023
13,Bay Terrace-Clearview,22700,12492,15030,238,6214,2871,1651.0,2550,488.0,10873.0,4107,21552,350.27777777777777,-73.78859159444444,40.7812234,0.5503083700440529,0.6621145374449339,0.010484581497797357,0.27374449339207046,0.12647577092511014,0.07273127753303965,0.11233480176211454,0.04488181734571875,0.19056236080178174
