,community,Total population,female_total,white_total,Black or African American total,Asian total,Hispanic or Latino Origin total,poverty total,population below 35 years old total,unemployment total for people over 16 years old,people over 16 years old total,school enrollment total for population over 3 years old,population over 3 years old total,Family Income Last Year,longitude,latitude,female_ratio,white_ratio,Black or African American ratio,Asian ratio,Hispanic or Latino Origin ratio,poverty ratio,population below 35 years old ratio,unemploymen ratio,school enrollment ratio
0,Bayview Hunters Point,37394,19465,4702,9589,14340,8908,7151.0,4995,1667.0,19336.0,9734,36087,392.57142857142856,-122.38953722380951,37.72991433333333,0.5205380542332995,0.12574209766272665,0.2564315130769642,0.3834839813873884,0.23822003529978072,0.19123388778948494,0.1335775792907953,0.0862122465866777,0.2697370244132236
1,Bernal Heights,25858,12467,14973,1235,4626,6561,1660.0,2438,657.0,16079.0,4770,24781,287.42105263157896,-122.4162273,37.74059376315789,0.48213318895506224,0.5790471034109367,0.047760847706705856,0.17890014695645448,0.2537319204888236,0.06419676695800139,0.09428416737566711,0.04086075004664469,0.19248617892740405
2,Castro/Upper Market,22284,8707,16514,732,3169,1653,1356.0,1088,591.0,16373.0,2442,21595,216.83333333333334,-122.43543855,37.762044644444444,0.39072877400825706,0.7410698258840424,0.03284868066774367,0.14220965715311434,0.07417878298330641,0.06085083467959074,0.04882426853347693,0.0360960117266231,0.11308173188238017
3,Chinatown,14737,7683,1701,99,12352,493,3648.0,1027,484.0,7389.0,2161,14314,359.4,-122.40806675000002,37.79639096,0.5213408427766846,0.11542376331682161,0.006717785166587501,0.8381624482594829,0.03345321300128927,0.2475402049263758,0.06968853905136731,0.06550277439437001,0.1509710772670113
4,Excelsior,40701,20225,9272,831,20540,12994,3812.0,3992,1084.0,23075.0,9365,39685,416.0,-122.43187925499998,37.719169475,0.49691653767720695,0.22780767057320458,0.020417188766860765,0.504655905260313,0.3192550551583499,0.09365863246603277,0.09808112822780767,0.04697724810400867,0.23598336903112008
5,Financial District/South Beach,19458,8965,9459,631,8045,1310,1754.0,805,650.0,13736.0,1874,18937,389.5,-122.39549148,37.789998329999996,0.46073594408469526,0.4861239592969473,0.032428821050467675,0.4134546202076267,0.06732449378147806,0.09014287182649809,0.041371158392434985,0.04732090856144438,0.09895970850715531
6,Glen Park,8641,4185,5713,505,1424,1064,440.0,778,201.0,5166.0,1763,8223,298.57142857142856,-122.43277588571428,37.73835941428571,0.4843189445666011,0.6611503298229372,0.058442309917833585,0.1647957412336535,0.12313389653975235,0.05092003240365699,0.09003587547737531,0.038908246225319396,0.21439863796667882
7,Golden Gate Park,66,20,55,0,6,0,0.0,0,0.0,61.0,9,66,0.0,-122.4920873,37.7684025,0.30303030303030304,0.8333333333333334,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.13636363636363635
8,Haight Ashbury,18524,8765,14583,765,1850,1382,1258.0,836,395.0,14040.0,2565,17974,249.0,-122.44469993571428,37.76842690714285,0.4731699416972576,0.7872489743036062,0.04129777585834593,0.09987043835024832,0.074605916648672,0.06791189807816886,0.04513064133016627,0.028133903133903133,0.1427061310782241
9,Hayes Valley,19678,8468,13090,1307,3043,2699,1770.0,672,343.0,15211.0,2152,19099,188.57142857142858,-122.42816185000001,37.77452754285714,0.4303282853948572,0.6652098790527493,0.0664193515601179,0.15463969915641834,0.1371582477894095,0.08994816546396991,0.03414981197276146,0.022549470777726646,0.11267605633802817
10,Inner Richmond,22220,12224,12123,403,7980,1726,1720.0,1720,599.0,14537.0,3955,21534,280.1875,-122.46538501250001,37.78088019375,0.5501350135013502,0.5455895589558956,0.018136813681368137,0.35913591359135916,0.07767776777677768,0.0774077407740774,0.0774077407740774,0.04120520052280388,0.18366304448778675
