,community,Total population,female_total,white_total,Black or African American total,Asian total,Hispanic or Latino Origin total,poverty total,population below 35 years old total,unemployment total for people over 16 years old,people over 16 years old total,school enrollment total for population over 3 years old,population over 3 years old total,Family Income Last Year,longitude,latitude,female_ratio,white_ratio,Black or African American ratio,Asian ratio,Hispanic or Latino Origin ratio,poverty ratio,population below 35 years old ratio,unemploymen ratio,school enrollment ratio
0,Bayview Hunters Point,37694,19403,5267,10244,13845,8744,7640,4965,2021,19670,9908,36305,384.3333333333333,-122.38953722380951,37.72991433333333,0.5147503581471853,0.1397304610813392,0.27176739003554945,0.367299835517589,0.23197325834350294,0.20268477741815674,0.13171857590067385,0.10274529740721912,0.27291006748381763
1,Bernal Heights,26705,12751,15369,1203,4365,7672,2032,2459,1052,16631,4757,25482,284.4736842105263,-122.4162273,37.74059376315789,0.4774761280659053,0.5755102040816327,0.04504774386818948,0.16345253697809398,0.2872870249017038,0.07609061973413218,0.09208013480621606,0.06325536648427635,0.18668079428616277
2,Castro/Upper Market,21875,8375,16775,558,2745,1685,1522,1097,580,15767,2390,21165,201.5,-122.43543855,37.762044644444444,0.38285714285714284,0.7668571428571429,0.02550857142857143,0.12548571428571428,0.07702857142857143,0.06957714285714285,0.05014857142857143,0.03678569163442633,0.1129222773446728
3,Chinatown,14539,7461,2182,106,11847,382,3881,1049,423,7344,2136,14204,353.9,-122.40806675000002,37.79639096,0.5131714698397414,0.1500790975995598,0.0072907352637733,0.8148428365087007,0.02627415915812642,0.2669372033840017,0.07215076690281312,0.05759803921568627,0.1503801745987046
4,Excelsior,40414,19816,10001,878,20040,13004,4049,3845,1509,22505,9301,39272,417.25,-122.43187925499998,37.719169475,0.49032513485425844,0.24746375018557926,0.021725144751818675,0.49586776859504134,0.32176968377294995,0.10018805364477656,0.09514029791656357,0.0670517662741613,0.23683540435934
5,Financial District/South Beach,18259,8581,9429,620,6785,1529,2100,1115,551,12688,2045,17714,347.6,-122.39548904,37.790004190000005,0.4699600197163043,0.5164028698176242,0.03395585738539898,0.3715975683224711,0.08373952571334685,0.11501177501506106,0.061065775781806234,0.043426860025220684,0.11544541040984532
6,Glen Park,8310,3986,5500,567,1460,1125,575,687,223,4998,1582,7955,293.14285714285717,-122.43277588571428,37.73835941428571,0.47966305655836344,0.6618531889290012,0.06823104693140794,0.17569193742478942,0.13537906137184116,0.06919374247894103,0.08267148014440433,0.04461784713885554,0.1988686360779384
7,Golden Gate Park,84,33,74,0,5,0,0,0,0,80,8,84,0.0,-122.4920873,37.7684025,0.39285714285714285,0.8809523809523809,0.0,0.05952380952380952,0.0,0.0,0.0,0.0,0.09523809523809523
8,Haight Ashbury,18285,8569,14509,678,1793,1462,1522,780,411,14053,2674,17819,240.64285714285714,-122.44469993571428,37.76842690714285,0.4686354935739677,0.7934919332786436,0.03707957342083675,0.09805851791085589,0.07995624829094887,0.08323762646978397,0.04265791632485644,0.029246424251049598,0.1500645378528537
9,Hayes Valley,18636,7829,12227,1529,2910,2448,2128,653,400,14151,2090,18144,184.14285714285714,-122.42816185000001,37.77452754285714,0.42010088001717105,0.6560957286971453,0.08204550332689418,0.15614938828074695,0.1313586606567933,0.1141875939042713,0.035039708091865206,0.028266553600452264,0.11518959435626103
