,community,Total population,female_total,white_total,Black or African American total,Asian total,Hispanic or Latino Origin total,poverty total,population below 35 years old total,unemployment total for people over 16 years old,people over 16 years old total,school enrollment total for population over 3 years old,population over 3 years old total,Family Income Last Year,longitude,latitude,female_ratio,white_ratio,Black or African American ratio,Asian ratio,Hispanic or Latino Origin ratio,poverty ratio,population below 35 years old ratio,unemploymen ratio,school enrollment ratio
0,Bayview Hunters Point,37599,19179,5332,10418,13643,8194,7327,5151,2333,19814,10166,36126,386.4761904761905,-122.38953837619047,37.72991636666667,0.5100933535466369,0.141812282241549,0.2770818372829065,0.36285539509029496,0.21793132796085002,0.19487220404798,0.1369983244235219,0.1177450287675381,0.28140397497647124
1,Bernal Heights,26138,12616,14803,1329,4369,7676,2348,2574,1197,16271,5090,25065,274.36842105263156,-122.41622731052631,37.74059376315789,0.48266891116382277,0.5663401943530492,0.050845512280970236,0.1671512740071926,0.29367204835871147,0.08983089754380595,0.09847731272476853,0.07356646794911191,0.2030720127668063
2,Castro/Upper Market,21087,7898,16409,548,2526,1696,1524,1026,646,15289,2264,20480,180.38888888888889,-122.43543854444445,37.762044644444444,0.3745435576421492,0.7781571584388486,0.025987575283349933,0.11978944373310571,0.08042870014701001,0.07227201593398777,0.04865556978233035,0.042252599908430895,0.110546875
3,Chinatown,14818,7764,2147,94,11941,621,4011,1237,506,7292,2673,14543,352.6,-122.40806675000002,37.79639096,0.5239573491699284,0.1448913483601026,0.00634363611823458,0.8058442434876502,0.04190848967471993,0.2706843028748819,0.08347955189634229,0.0693911135490949,0.18379976621054803
4,Excelsior,39340,19240,11057,936,19015,13006,3645,3624,1714,22165,9185,38394,415.2,-122.43188211500001,37.719169369999996,0.48906964921199797,0.28106253177427554,0.023792577529232334,0.4833502796136248,0.3306049822064057,0.09265378749364514,0.09211997966446366,0.07732912249041281,0.23923008803458873
5,Financial District/South Beach,17457,8153,9361,380,6250,1583,1642,1127,588,11826,1887,16927,327.4,-122.39548904,37.790004190000005,0.4670332817780833,0.5362318840579711,0.021767772240362034,0.35802256974279656,0.09067995646445552,0.09405968952282752,0.06455862977602109,0.04972095383054287,0.11147870266438235
6,Glen Park,8206,3798,5707,483,1212,1057,609,670,257,4962,1491,7856,294.0,-122.43277588571428,37.73835941428571,0.46283207409212773,0.6954667316597611,0.05885937119181087,0.14769680721423348,0.12880818912990494,0.07421398976358762,0.08164757494516207,0.051793631600161226,0.18979124236252545
7,Golden Gate Park,89,31,84,0,0,0,0,0,0,85,4,89,0.0,-122.4920873,37.7684025,0.34831460674157305,0.9438202247191011,0.0,0.0,0.0,0.0,0.0,0.0,0.0449438202247191
8,Haight Ashbury,18050,8445,14411,593,1615,1493,1658,990,590,13792,2873,17617,224.64285714285714,-122.44469993571428,37.76842690714285,0.4678670360110803,0.798393351800554,0.032853185595567866,0.08947368421052632,0.08271468144044321,0.09185595567867036,0.05484764542936288,0.0427784222737819,0.16308111483226428
9,Hayes Valley,18251,7723,12242,1647,2571,1985,2369,816,647,13954,2182,17850,161.28571428571428,-122.42816185000001,37.77452754285714,0.4231548956221577,0.6707577666977151,0.09024163059558381,0.14086899347980933,0.10876116377184812,0.1298011067886691,0.04470987891074462,0.04636663322344847,0.12224089635854342
10,Inner Richmond,22503,11937,12115,344,8103,2005,2829,1738,827,13964,4732,21938,287.1875,-122.46538501250001,37.78088019375,0.5304626049860018,0.5383726614229214,0.015286850642136604,0.3600853219570724,0.08909923121361596,0.12571657112385015,0.07723414655823668,0.05922371813234031,0.21569878749202298
11,Inner Sunset,29124,15229,16351,561,9497,2540,2646,2413,721,18144,6322,28347,307.05,-122.466094825,37.75968593,0.522902073890949,0.561427001785469,0.019262463947259993,0.3260884493888202,0.08721329487707732,0.09085290482076638,0.08285263013322346,0.03973765432098766,0.22302183652591104
12,Japantown,3651,2163,2078,111,1283,319,727,107,103,1912,239,3596,201.33333333333334,-122.43448476666667,37.785047766666665,0.5924404272801972,0.5691591344837031,0.030402629416598194,0.35141057244590523,0.08737332237743084,0.19912352780060258,0.02930703916735141,0.05387029288702929,0.06646273637374861
13,Lakeshore,14301,7622,6634,920,4253,2771,3995,3316,1212,7527,8180,14106,253.71428571428572,-122.4813814,37.71988987142857,0.5329697223970352,0.4638836445003846,0.06433116565275156,0.29739179078386124,0.19376267393888538,0.2793510943290679,0.23187189707013495,0.16102032682343564,0.5798950801077556
14,Lincoln Park,320,84,179,32,87,16,13,0,9,88,18,320,19.0,-122.5020433,37.7851517,0.2625,0.559375,0.1,0.271875,0.05,0.040625,0.0,0.10227272727272728,0.05625
15,Lone Mountain/USF,18074,9774,11236,1036,4059,2188,1748,2586,914,11219,5217,17517,248.45454545454547,-122.44997382727273,37.77688602727273,0.5407768064623215,0.6216664822396814,0.05731990704879938,0.22457674006860684,0.12105787318800487,0.09671351112094721,0.14307845523957066,0.08146893662536768,0.29782497002911457
16,Marina,25108,12896,20918,239,2576,1734,1220,1433,752,18132,2811,24125,229.3684210526316,-122.43564627894736,37.80049548947369,0.513621156603473,0.8331209176358133,0.009518878445117094,0.10259678190218258,0.06906165365620519,0.04859009080771069,0.05707344272741756,0.041473637767482904,0.11651813471502591
17,McLaren Park,853,504,52,187,411,79,279,156,84,319,222,824,191.0,-122.419376,37.7161724,0.5908558030480656,0.06096131301289566,0.21922626025791325,0.48182883939038684,0.09261430246189918,0.32708089097303633,0.182883939038687,0.26332288401253917,0.26941747572815533
18,Mission,58637,25695,33716,1651,7930,22694,8361,4255,2555,39789,9616,56910,231.275,-122.4164073625,37.757845464999995,0.43820454661732355,0.5749953101284172,0.028156283575217014,0.1352388423691526,0.3870252570902331,0.1425891501952692,0.07256510394460836,0.06421372741209883,0.16896854682832543
19,Mission Bay,10529,4977,4393,728,4282,1214,977,596,337,7408,1829,10157,811.3333333333334,-122.3934704,37.77400083333333,0.47269446291195744,0.41722860670529016,0.06914236869598253,0.4066862949947763,0.1153005983474214,0.09279133820875676,0.0566055655807769,0.045491360691144705,0.18007285615831448
20,Nob Hill,26209,13191,14612,762,8617,2795,3752,1191,846,17716,4139,25881,212.11764705882354,-122.41451374117648,37.79156495294118,0.5033003929947728,0.5575184097065894,0.029073982219848145,0.3287801900110649,0.10664275630508604,0.14315693082528902,0.04544240528062879,0.047753443215172726,0.15992426876859472
21,Noe Valley,23199,11193,17299,586,3140,2322,1110,1852,720,15711,3792,22292,255.26315789473685,-122.43184596842104,37.74943494210526,0.4824776930040088,0.7456786930471141,0.025259709470235786,0.13535066166645113,0.10009052114315273,0.04784688995215311,0.07983102719944825,0.04582776398701547,0.17010586757581195
22,North Beach,12595,5953,6435,209,4979,1125,1991,715,530,7819,1803,12308,272.55555555555554,-122.40792218888889,37.802285366666666,0.4726478761413259,0.5109170305676856,0.016593886462882096,0.3953156014291386,0.08932115919015482,0.15807860262008733,0.056768558951965066,0.06778360404143752,0.1464900877478063
23,Oceanview/Merced/Ingleside,28007,14212,5529,3499,15180,4325,4016,2812,1620,16033,7677,27431,317.29411764705884,-122.46047085294119,37.7177796,0.5074445674295712,0.1974149319812904,0.12493305245117292,0.5420073553040311,0.1544256792944621,0.14339272324775948,0.1004034705609312,0.10104160169650096,0.2798658452116219
24,Outer Mission,24273,12256,5758,248,12987,7157,1644,2604,1059,13886,5481,23311,341.93333333333334,-122.44388817333333,37.72010300666667,0.5049231656573148,0.23721830840851976,0.010217113665389528,0.5350389321468298,0.2948543649322292,0.06772957607217897,0.10727969348659004,0.07626386288347976,0.2351250482604779
25,Outer Richmond,44870,23284,19959,715,20667,2950,4596,3656,1106,26951,9285,43555,313.34375,-122.489355140625,37.778323115625,0.5189213282817027,0.44481836416313797,0.015934923111210163,0.4605972810340985,0.06574548696233563,0.10242924002674393,0.0814798306217963,0.041037438313977215,0.21317873952473884
