,community,Total population,female_total,white_total,Black or African American total,Asian total,Hispanic or Latino Origin total,poverty total,population below 35 years old total,unemployment total for people over 16 years old,people over 16 years old total,school enrollment total for population over 3 years old,population over 3 years old total,Family Income Last Year,longitude,latitude,female_ratio,white_ratio,Black or African American ratio,Asian ratio,Hispanic or Latino Origin ratio,poverty ratio,population below 35 years old ratio,unemploymen ratio,school enrollment ratio
0,Bayview Hunters Point,37917,19714,4520,9952,14813,8889,6717,4731,1415,19951,9700,36483,390.57142857142856,-122.38953722380951,37.729914328571425,0.5199250995595643,0.11920774322863095,0.26246802225914495,0.39066909301896247,0.23443310388480101,0.1771500909882111,0.12477252947226837,0.07092376321988873,0.2658772579009402
1,Bernal Heights,25167,12162,14331,1042,4471,6613,1473,2511,486,15677,4647,24256,289.2631578947368,-122.41622728421054,37.740593757894736,0.48325187745857673,0.5694361664083919,0.04140342512019708,0.17765327611554813,0.26276473159295904,0.058529026105614494,0.09977351293360352,0.03100082924028832,0.19158146437994722
2,Castro/Upper Market,22502,8607,16468,760,3270,1807,1275,1140,574,16482,2699,21899,221.5,-122.43543855,37.762044644444444,0.38249933339258735,0.7318460581281664,0.0337747755755044,0.1453204159630255,0.08030397298017954,0.05666163007732646,0.0506621633632566,0.03482587064676617,0.12324763687839628
3,Chinatown,14438,7453,1748,19,12047,440,3425,864,513,7370,2023,14055,361.2,-122.40806675000002,37.79639096,0.5162072309184097,0.12106940019393268,0.0013159717412383988,0.8343953456157363,0.030475135060257653,0.23722122177586924,0.05984208339105139,0.06960651289009498,0.143934542867307
4,Excelsior,39879,19890,9432,879,19937,12746,3448,3987,880,22114,8929,38875,426.25,-122.43187925499998,37.71916948,0.49875874520424285,0.23651545926427442,0.02204167607011209,0.49993731036385064,0.3196168409438552,0.08646154617718599,0.09997743173098624,0.03979379578547526,0.22968488745980709
5,Financial District/South Beach,21537,10028,10370,617,8822,1529,1981,781,632,15347,2142,20757,421.1,-122.39549148,37.789998329999996,0.4656173097460185,0.481496958722199,0.028648372568138552,0.4096206528300135,0.07099410317128663,0.09198124158425036,0.036263175001160795,0.04118068677917508,0.10319410319410319
6,Glen Park,8651,4247,5571,614,1463,1042,593,869,200,5040,1967,8213,287.85714285714283,-122.43277588571428,37.73835941428571,0.4909259045197087,0.6439717951681887,0.07097445382036759,0.16911339729511038,0.12044850306322968,0.06854698878742342,0.10045081493468963,0.03968253968253968,0.23949835626445878
7,Golden Gate Park,63,25,58,0,5,0,0,0,0,59,8,63,0.0,-122.4920873,37.7684025,0.3968253968253968,0.9206349206349206,0.0,0.07936507936507936,0.0,0.0,0.0,0.0,0.12698412698412698
8,Haight Ashbury,19275,9218,14839,886,2087,1453,1208,1211,406,14506,2834,18626,252.42857142857142,-122.44469993571428,37.76842690714285,0.4782360570687419,0.7698573281452659,0.0459662775616083,0.10827496757457847,0.07538261997405966,0.06267185473411155,0.06282749675745784,0.02798841858541293,0.152152904542038
9,Hayes Valley,19711,8537,12855,1350,3064,2644,1662,850,357,15110,1983,19014,207.57142857142858,-122.42816185000001,37.77452754285714,0.4331084166201613,0.6521739130434783,0.06848967581553447,0.1554461975546649,0.13413829841205419,0.08431840089290243,0.043123129217188375,0.023626737260092654,0.10429157462922058
10,Inner Richmond,22572,12367,11907,424,8460,1833,1927,1850,623,14732,3998,21894,283.5,-122.46538501250001,37.78088019375,0.5478911926280348,0.527511961722488,0.018784334573808258,0.3748006379585327,0.08120680489101542,0.085371256423888,0.08195995038100301,0.042288894922617434,0.18260710696994611
11,Inner Sunset,29539,15086,15633,731,10316,2570,2268,2375,634,18833,6418,28657,301.15,-122.466094825,37.75968593,0.510714648430888,0.5292325400318223,0.024746944717153593,0.34923321710281324,0.08700362232980129,0.07677985036731101,0.08040218016859067,0.033664312642701644,0.22395924207000034
12,Japantown,3551,1916,1878,58,1163,329,372,48,33,2037,190,3485,171.66666666666666,-122.4344857,37.78504563333333,0.5395663193466629,0.5288651084201633,0.016333427203604617,0.32751337651365814,0.09264995775837792,0.10475922275415377,0.013517319065052097,0.016200294550810016,0.054519368723098996
13,Lakeshore,14801,7977,6293,1026,4107,3420,3360,3490,1200,9018,7953,14621,274.85714285714283,-122.4813814,37.71988985714285,0.5389500709411527,0.4251739747314371,0.0693196405648267,0.2774812512668063,0.23106546854942234,0.22701168839943248,0.23579487872441052,0.1330671989354624,0.5439436427056973
14,Lincoln Park,312,71,146,50,105,11,0,7,0,65,19,312,31.0,-122.5019092,37.785046,0.22756410256410256,0.46794871794871795,0.16025641025641027,0.33653846153846156,0.035256410256410256,0.0,0.022435897435897436,0.0,0.060897435897435896
15,Lone Mountain/USF,17677,9629,10301,931,4048,2071,1384,2669,767,11006,4898,17228,244.27272727272728,-122.44997382727273,37.77688602727273,0.5447191265486225,0.5827346269163319,0.05266730780109747,0.22899813316739265,0.11715788878203315,0.07829382813825875,0.15098715845448887,0.06968926040341632,0.2843046203854191
16,Marina,25375,13072,21225,197,2686,1809,1103,1236,500,18974,2391,24428,221.31578947368422,-122.43564627894736,37.80049548947369,0.5151527093596059,0.8364532019704434,0.007763546798029557,0.10585221674876848,0.07129064039408867,0.043467980295566505,0.04870935960591133,0.02635184989986297,0.09787948256099557
