,community,Total population,female_total,white_total,Black or African American total,Asian total,Hispanic or Latino Origin total,poverty total,population below 35 years old total,unemployment total for people over 16 years old,people over 16 years old total,school enrollment total for population over 3 years old,population over 3 years old total,Family Income Last Year,longitude,latitude,female_ratio,white_ratio,Black or African American ratio,Asian ratio,Hispanic or Latino Origin ratio,poverty ratio,population below 35 years old ratio,unemploymen ratio,school enrollment ratio
0,ALBANY PARK,49280,24337,25795,2813,6237,22673,6413,6836,1869,28300,12962,47519,310.5,-87.71926637941176,41.9675109882353,0.49385146103896105,0.5234375,0.05708198051948052,0.1265625,0.46008522727272727,0.13013392857142858,0.13871753246753246,0.06604240282685513,0.27277510048612136
1,ARCHER HEIGHTS,13533,6135,7661,183,612,10800,1482,1837,551,6502,3677,12954,281.6,-87.72679769999999,41.80561002,0.4533362890711594,0.5660976871351511,0.013522500554200843,0.045222788738638886,0.7980492130348038,0.10951008645533142,0.13574225966156803,0.08474315595201476,0.28385054809325305
2,ARMOUR SQUARE,13401,7247,2281,1197,9480,745,3785,1339,444,6287,2833,12897,390.125,-87.6338050375,41.8438502,0.5407805387657637,0.17021117827027835,0.0893216924110141,0.7074098947839713,0.05559286620401462,0.28244160883516156,0.09991791657339004,0.07062191824399555,0.21966348763278282
3,ASHBURN,42902,21993,12376,19452,385,18331,5687,6623,2244,21425,11901,41306,352.14285714285717,-87.71176400357142,41.744870424999995,0.5126334436623001,0.288471399934735,0.4534054356440259,0.008973940608829426,0.4272761176635122,0.13255792270756608,0.1543750874085124,0.10473745624270711,0.28811794896625187
4,AUBURN GRESHAM,46698,24952,743,44318,146,1397,11665,6265,3322,20150,11317,44785,219.5,-87.6570688625,41.74555429166667,0.5343269519037218,0.01591074564221166,0.9490342198809371,0.0031264722257912545,0.02991562807829029,0.2497965651633903,0.13415992119576856,0.164863523573201,0.25269621525064195
5,AUSTIN,95073,50718,10901,72607,343,16210,24608,13468,5786,43212,22704,91145,243.10714285714286,-87.76271017857142,41.89539640238095,0.5334637594269667,0.11465926183038297,0.7636973693898372,0.0036077540416311676,0.17050056272548464,0.2588326864619818,0.14165956685915035,0.13389799129871333,0.2490975917494103
6,AVALON PARK,9629,5418,80,9123,129,0,1931,943,737,4682,2110,9210,215.7,-87.5862569,41.74326887,0.5626752518433897,0.008308235538477517,0.9474504102191297,0.013397029805794995,0.0,0.20054003531000103,0.09793332640980372,0.15741136266552755,0.2290988056460369
7,AVONDALE,37360,18988,24369,907,1696,20145,4976,4731,1153,23140,8271,36012,305.38461538461536,-87.71264840769231,41.93757217307692,0.5082441113490364,0.6522751605995717,0.02427730192719486,0.045396145610278375,0.5392130620985011,0.13319057815845825,0.12663276231263385,0.04982713915298185,0.22967344218593802
8,BELMONT CRAGIN,78788,39586,41039,2805,1921,62943,11807,12788,2069,40277,21846,75881,361.8085106382979,-87.76242895106384,41.92719175106383,0.5024369193278164,0.5208788140325938,0.03560186830481799,0.0243818855663299,0.7988906940143169,0.14985784637254404,0.16230898106310607,0.051369267820344115,0.2878981563237174
9,BEVERLY,19817,10546,11610,6609,194,1179,1229,2814,619,10411,5045,19143,270.94736842105266,-87.67495756842106,41.71155877894737,0.5321693495483676,0.5858606247161527,0.3335015390826058,0.00978957460766009,0.059494373517686834,0.06201745975677449,0.14199929353585306,0.05945634425127269,0.2635428093820195
10,BRIDGEPORT,32901,16379,14994,736,13388,6864,4758,3480,1249,18322,7406,31844,268.22222222222223,-87.64765403333332,41.83586891481482,0.4978268137746573,0.4557308288501869,0.02237014072520592,0.4069177228655664,0.2086258776328987,0.14461566517735022,0.10577186103765843,0.06816941381945202,0.23257128501444543
11,BRIGHTON PARK,42728,20986,18001,707,4546,34130,8688,7403,2143,20068,12127,40999,324.1666666666667,-87.6972315,41.816334663333336,0.49115334207077327,0.4212928290582288,0.016546526867627784,0.1063939337202771,0.7987736378955251,0.2033327092304812,0.1732587530425014,0.10678692445684672,0.29578770213907657
12,BURNSIDE,2180,1096,96,1938,0,156,254,81,174,1092,314,2180,238.5,-87.5970644,41.7276729,0.5027522935779817,0.044036697247706424,0.8889908256880734,0.0,0.07155963302752294,0.11651376146788991,0.037155963302752296,0.15934065934065933,0.14403669724770643
13,CALUMET HEIGHTS,12343,7130,430,11659,8,543,1783,1235,429,6033,2240,12127,200.33333333333334,-87.57494756,41.73049882666667,0.5776553512112128,0.03483755975046585,0.9445839747225148,0.0006481406465202949,0.043992546382565015,0.14445434659321071,0.10005671230657052,0.07110890104425659,0.18471180011544489
14,CHATHAM,31363,17762,387,30320,77,271,7933,3942,2474,14832,6772,30452,207.06451612903226,-87.61075995806452,41.74076690322581,0.5663361285591302,0.012339380799030705,0.9667442527819405,0.0024551222778433184,0.0086407550298122,0.2529413640276759,0.1256895067436151,0.16680151024811218,0.22238276632076712
15,CHICAGO LAWN,51243,26945,12711,20704,271,28387,11556,8799,4023,23683,13540,48934,253.32558139534885,-87.69517169069768,41.77400860697674,0.5258279179595262,0.24805339265850945,0.40403567316511524,0.00528852721347306,0.5539683468961615,0.22551372870440842,0.1717112581230607,0.16986868217708906,0.27669922753096005
16,CLEARING,24382,11881,16689,654,156,13878,1979,2930,1306,12316,6316,23352,288.75,-87.76627068,41.778314769999994,0.4872857025674678,0.6844803543597736,0.026823066196374375,0.006398162578951686,0.5691903863505865,0.08116643425477811,0.12017061766877205,0.10604092237739526,0.27046933881466256
17,DOUGLAS,21450,11597,2661,14082,3139,1152,6649,2672,1372,9961,6814,20651,200.55555555555554,-87.61881045,41.83383665,0.5406526806526807,0.12405594405594406,0.6565034965034965,0.14634032634032634,0.053706293706293706,0.30997668997669,0.12456876456876458,0.1377371749824315,0.32995980824173166
18,DUNNING,43587,22110,34061,1300,2291,14005,3060,5297,1052,24051,10237,42571,309.7142857142857,-87.80575003428572,41.945471465714284,0.5072613393901851,0.781448597058756,0.029825406657948472,0.05256154357950765,0.3213114001881295,0.07020441874870947,0.12152706082088696,0.04374038501517608,0.24046886378050786
19,EAST GARFIELD PARK,18075,10188,1322,15478,159,863,8009,3105,1413,7447,4879,17170,212.61111111111111,-87.70478503888889,41.87839023888889,0.5636514522821576,0.07313969571230983,0.8563208852005533,0.008796680497925312,0.04774550484094053,0.4430982019363762,0.17178423236514523,0.18974083523566537,0.28415841584158413
20,EAST SIDE,22999,12183,16313,554,128,19514,3341,4475,832,10227,6662,21904,328.375,-87.53513591875,41.7034824,0.5297186834210184,0.709291708335145,0.024088003826253316,0.0055654593677986,0.848471672681421,0.14526718552980564,0.19457367711639637,0.0813532805319253,0.30414536157779404
21,EDGEWATER,58693,28501,36944,7940,8127,9323,8224,5148,2021,36615,11846,56986,223.48936170212767,-87.66111371489362,41.98708344255319,0.4855945342715486,0.629444737873341,0.13528018673436354,0.13846625662344744,0.15884347366806945,0.1401189238921166,0.08771062988772085,0.055195957940734675,0.20787561857298284
