,community,Total population,female_total,white_total,Black or African American total,Asian total,Hispanic or Latino Origin total,poverty total,population below 35 years old total,unemployment total for people over 16 years old,people over 16 years old total,school enrollment total for population over 3 years old,population over 3 years old total,Family Income Last Year,longitude,latitude,female_ratio,white_ratio,Black or African American ratio,Asian ratio,Hispanic or Latino Origin ratio,poverty ratio,population below 35 years old ratio,unemploymen ratio,school enrollment ratio
0,ALBANY PARK,51992,25958,31520,2578,7604,24927,9309,7543,2060,29158,13401,49919,317.52941176470586,-87.71926663529412,41.96751355882353,0.49926911832589627,0.6062471149407601,0.04958455146945684,0.1462532697338052,0.47943914448376673,0.17904677642714265,0.1450800123095861,0.07064956444200562,0.2684548969330315
1,ARCHER HEIGHTS,13169,6657,6982,203,589,10201,2451,2111,605,6574,3949,12663,290.9,-87.72679769999999,41.80561002,0.5055053534816615,0.5301845242615233,0.015414989748652137,0.044726251044118766,0.7746222188472929,0.18611891563520389,0.16030070620396386,0.0920292059628841,0.31185343125641635
2,ARMOUR SQUARE,13396,6696,1931,1218,9811,526,5031,1206,769,6589,2962,12935,411.5,-87.6337887625,41.843868025,0.4998507017020006,0.1441475067184234,0.09092266348163631,0.7323828008360704,0.039265452373842935,0.37555986861749774,0.09002687369363989,0.11670966762786462,0.22899110939311945
3,ASHBURN,43792,22419,11314,20967,315,16924,5053,7042,2904,22287,13293,42072,364.7857142857143,-87.71176400357142,41.744870424999995,0.5119428206065034,0.2583576909024479,0.478786079649251,0.00719309462915601,0.38646328096455973,0.11538637194008038,0.16080562659846548,0.13030017498990443,0.3159583571021107
4,AUBURN GRESHAM,46278,25803,595,44578,143,862,13368,6509,4376,20706,12154,44720,219.41666666666666,-87.6570688625,41.74555428958333,0.5575651497471801,0.012857081118458015,0.9632654825186914,0.003090021176368901,0.018626561216992955,0.288862958641255,0.14064998487402222,0.21133970829711196,0.2717799642218247
5,AUSTIN,95260,51994,8365,77422,483,12398,27499,14437,6306,41036,25377,91324,240.29761904761904,-87.76270860714286,41.895396496428575,0.5458114633634265,0.08781230317027083,0.8127440688641613,0.005070333823220659,0.13014906571488558,0.28867310518580724,0.1515536426621877,0.15366994833804465,0.27787876133327494
6,AVALON PARK,10034,5716,115,9766,38,66,1919,1436,760,4258,2460,9523,215.2,-87.5862569,41.74326886,0.5696631453059597,0.011461032489535578,0.973290811241778,0.003787123779150887,0.006577636037472593,0.1912497508471198,0.14311341439107036,0.17848755284170972,0.25832195736637614
7,AVONDALE,37368,18339,30660,923,1546,21491,7291,4563,1162,21058,8868,35905,301.1923076923077,-87.71264812692309,41.93757209615384,0.4907675016056519,0.8204881181759794,0.024700278312995077,0.041372297152643976,0.5751177478056091,0.1951134660672233,0.12210982658959538,0.0551809288631399,0.24698509956830525
8,BELMONT CRAGIN,79956,40350,39600,2567,1662,64806,15962,13650,3765,40858,22982,76356,357.3829787234043,-87.76242940851064,41.92719260638298,0.504652558907399,0.49527239981990095,0.03210515783681025,0.020786432537895843,0.8105207864325379,0.19963479913952675,0.17071889539246585,0.09214841646678741,0.30098486039080097
9,BEVERLY,20822,10680,12777,7061,163,1095,960,2848,667,10756,5292,20006,277.05263157894734,-87.67495756842106,41.71155877894737,0.5129190279512055,0.6136298146191528,0.33911247718759,0.007828258572663529,0.052588608202862354,0.0461050811641533,0.1367784074536548,0.06201190033469691,0.26452064380685797
10,BRIDGEPORT,33696,16858,15973,934,13182,8073,6201,3434,1654,18687,8100,32623,278.9259259259259,-87.6476462888889,41.83585990370371,0.5002967711301045,0.47403252611585944,0.027718423551756886,0.3912037037037037,0.23958333333333334,0.1840277777777778,0.10191120607787274,0.08851072938406379,0.24829108297826688
11,BRIGHTON PARK,44813,21571,22532,798,3634,37301,10905,7793,2285,20886,13815,42843,328.9,-87.6972315,41.816334663333336,0.4813558565594805,0.5028005266328966,0.017807332693638007,0.08109254011112847,0.8323700711847009,0.2433445651931359,0.17390043067859773,0.10940342813367807,0.3224564106155031
12,BURNSIDE,2254,1085,43,2197,0,33,396,164,249,1116,438,2238,241.0,-87.5970644,41.7276729,0.4813664596273292,0.019077196095829637,0.9747116237799468,0.0,0.014640638864241348,0.1756876663708962,0.07275953859804792,0.22311827956989247,0.19571045576407506
13,CALUMET HEIGHTS,13188,7086,510,12511,13,457,2109,1106,796,6448,2575,13078,199.5625,-87.57576071875,41.73041378125,0.5373066424021838,0.03867151956323931,0.9486654534425235,0.0009857446163178648,0.03465271458902032,0.15991810737033668,0.08386411889596602,0.12344913151364764,0.19689554977825355
