,community,Total population,female_total,white_total,Black or African American total,Asian total,Hispanic or Latino Origin total,poverty total,population below 35 years old total,unemployment total for people over 16 years old,people over 16 years old total,school enrollment total for population over 3 years old,population over 3 years old total,Family Income Last Year,longitude,latitude,female_ratio,white_ratio,Black or African American ratio,Asian ratio,Hispanic or Latino Origin ratio,poverty ratio,population below 35 years old ratio,unemploymen ratio,school enrollment ratio
55,OAKLAND,6850,4075,339,6349,97,270,1914.0,1169,669.0,3438.0,2501,6571,258.6666666666667,-87.60280660000001,41.82361198333333,0.5948905109489051,0.04948905109489051,0.9268613138686131,0.01416058394160584,0.03941605839416058,0.27941605839416056,0.17065693430656934,0.19458987783595114,0.3806117790290671
56,OHARE,15839,7621,12452,367,1456,3579,2670.0,1628,770.0,8981.0,3163,15187,408.3,-87.86300723,41.97878757,0.4811541132647263,0.7861607424711156,0.023170654713050066,0.09192499526485258,0.22596123492644737,0.16857124818486016,0.10278426668350274,0.08573655494933749,0.20827023111871995
57,PORTAGE PARK,64961,32748,45853,1097,3665,27000,7353.0,8349,2302.0,36374.0,15963,62607,295.8269230769231,-87.76332223653846,41.95301694615385,0.5041178553285818,0.7058542817998491,0.01688705531010914,0.05641846646449408,0.41563399578208465,0.11319099151798771,0.12852326780683795,0.06328696321548359,0.2549714888111553
58,PULLMAN,6816,3741,919,5719,5,302,1487.0,740,647.0,3862.0,1368,6559,199.875,-87.60012725,41.7061184375,0.5488556338028169,0.13482981220657278,0.8390551643192489,0.0007335680751173709,0.0443075117370892,0.2181631455399061,0.10856807511737089,0.1675297773174521,0.2085683793261168
59,RIVERDALE,7262,4642,289,6940,22,189,4186.0,1956,950.0,2849.0,2552,6636,248.42857142857142,-87.60324891428571,41.65515427142857,0.6392178463233269,0.03979619939410631,0.9556595979069127,0.003029468465987331,0.026025888185072982,0.5764252272101349,0.26934728724869184,0.3334503334503334,0.3845690174804099
60,ROGERS PARK,54872,27424,31838,14676,2993,11306,13378.0,7414,2139.0,32084.0,15376,53313,268.6111111111111,-87.66923768333334,42.00979629166667,0.4997813092287505,0.5802230645866745,0.26745881323808135,0.05454512319580114,0.2060431549788599,0.24380376148126548,0.13511444817028723,0.06666874454556788,0.28840995629583777
61,ROSELAND,41106,21771,665,39647,149,533,10997.0,5735,4169.0,18596.0,10848,39724,205.32558139534885,-87.62390367209302,41.7036960627907,0.5296307108451321,0.01617768695567557,0.9645063980927359,0.0036247749720235488,0.012966476913345983,0.26752785481438235,0.13951734539969834,0.22418799741879974,0.27308428154264425
62,SOUTH CHICAGO,29021,15850,5266,22360,110,5921,8421.0,5060,2438.0,13062.0,8090,27577,205.48387096774192,-87.5578309548387,41.74269700967742,0.5461562316942904,0.18145480858688537,0.7704765514627339,0.003790358705764791,0.20402467178939387,0.2901691878295028,0.1743565004651804,0.18664829275761752,0.29336040903651595
63,SOUTH DEERING,14697,8185,4727,9431,1,4585,4273.0,2414,1474.0,6533.0,4114,14330,313.6363636363636,-87.56441043636363,41.712040245454546,0.5569163774920052,0.32163026467986666,0.6416955841328162,6.804109682248077e-05,0.31196842893107435,0.29073960672246035,0.1642512077294686,0.22562375631409765,0.28709002093510116
64,SOUTH LAWNDALE,74943,32829,37282,9623,112,62345,20440.0,12517,2691.0,28105.0,20632,71758,320.8139534883721,-87.71301357674419,41.84420286046512,0.4380529202193667,0.497471411606154,0.1284042538996304,0.001494469129872036,0.8318989098381436,0.2727406162016466,0.1670202687375739,0.09574808752890945,0.28752194877226234
65,SOUTH SHORE,51543,30103,1984,48124,199,1215,17391.0,7802,4114.0,24059.0,13426,49417,204.0,-87.57390246938776,41.763429816326536,0.5840366296102284,0.038492132782337075,0.9336670352909221,0.003860854044196108,0.02357255107386066,0.33740760142017345,0.15136876006441224,0.1709963007606301,0.27168788068883176
66,UPTOWN,58424,28911,37106,10447,5890,8847,12619.0,4666,1937.0,37052.0,10805,56769,234.7906976744186,-87.65691499302326,41.966139279069765,0.4948480076680816,0.6351157058742982,0.1788135013008353,0.10081473367109407,0.15142749554977405,0.21599000410790087,0.07986443927153225,0.052277879736586416,0.19033275203015732
67,WASHINGTON HEIGHTS,27354,15840,315,26566,38,163,5528.0,4082,2395.0,13145.0,6344,26661,251.64,-87.648993816,41.719194916,0.5790743584119324,0.011515683263873656,0.9711925129779923,0.0013891935365942824,0.005958909117496527,0.20209110184982088,0.1492286320099437,0.18219855458349182,0.2379505644949552
68,WASHINGTON PARK,11355,6739,323,10436,21,243,4228.0,1994,954.0,4846.0,3319,10821,222.45454545454547,-87.62011706363636,41.79119554545454,0.593483047115808,0.028445618670189344,0.919066490532805,0.0018494055482166448,0.021400264200792603,0.37234698370761776,0.1756054601497138,0.19686339248865042,0.30671841789113763
69,WEST ELSDON,19336,10114,10782,291,412,15753,2120.0,3521,1069.0,9345.0,5544,18470,270.93333333333334,-87.72461381333333,41.79190324,0.523065784029789,0.5576127430699214,0.015049648324369053,0.021307405875051717,0.8146979726934216,0.10964004964832437,0.18209557302441043,0.11439272338148743,0.300162425554954
70,WEST ENGLEWOOD,28237,14897,1163,25344,4,2190,9094.0,4272,3480.0,11624.0,6643,27257,158.13513513513513,-87.66591386486486,41.776095178378384,0.5275702092998548,0.041187094946346994,0.8975457732761979,0.00014165810815596557,0.07755781421539115,0.3220597088925877,0.15129085951057122,0.2993805918788713,0.2437172102579154
71,WEST GARFIELD PARK,16943,9218,543,15917,55,447,7110.0,3318,1059.0,5907.0,4595,15966,227.33333333333334,-87.72919088,41.87751844666666,0.5440594935961754,0.03204863365401641,0.9394440181785988,0.0032461783627456765,0.026382576875405774,0.41964233016585023,0.1958330874107301,0.1792788217369223,0.28779907303018915
72,WEST LAWN,32176,15707,18514,890,268,26608,4545.0,5673,2025.0,15740.0,9469,31051,293.4583333333333,-87.72433747500001,41.7751177625,0.48815887618100445,0.575397812033814,0.027660367976131278,0.008329189457981103,0.8269517652909001,0.14125435106911985,0.1763115365489806,0.12865311308767471,0.3049499210975492
73,WEST PULLMAN,27471,14798,1495,25437,19,1570,7060.0,4205,3076.0,13128.0,6980,26397,253.79166666666666,-87.63471212916666,41.675357,0.538677150449565,0.05442102580903498,0.9259582832805504,0.0006916384550981035,0.05715117760547486,0.2569982891048742,0.15307051072039604,0.23430834856794638,0.26442398757434554
74,WEST RIDGE,77212,38858,42347,10397,17034,14178,16016.0,11512,2959.0,38311.0,19980,73357,382.46666666666664,-87.69445390666667,42.00034829333333,0.5032637413873491,0.5484510179764803,0.13465523493757448,0.22061337615914625,0.18362430710252292,0.20742889706263276,0.14909599544112315,0.07723630288950954,0.2723666453099227
75,WEST TOWN,84255,41183,64951,6383,4236,19108,10077.0,6859,2112.0,60523.0,14323,80638,248.41935483870967,-87.67763252258064,41.901470945161286,0.48878998279033886,0.7708860008308113,0.07575811524538603,0.0502759480149546,0.2267877277312919,0.11960121061064626,0.08140763159456411,0.03489582472778944,0.17762097274237953
76,WOODLAWN,22925,12900,2205,19209,847,749,8245.0,3991,1761.0,9441.0,8234,21975,201.36363636363637,-87.60231795,41.77859079545454,0.5627044711014176,0.09618320610687023,0.8379062159214831,0.036946564885496185,0.03267175572519084,0.35965103598691384,0.1740894220283533,0.18652685096917698,0.3746985210466439
