,community,Total population,female_total,white_total,Black or African American total,Asian total,Hispanic or Latino Origin total,poverty total,population below 35 years old total,unemployment total for people over 16 years old,people over 16 years old total,school enrollment total for population over 3 years old,population over 3 years old total,Family Income Last Year,longitude,latitude,female_ratio,white_ratio,Black or African American ratio,Asian ratio,Hispanic or Latino Origin ratio,poverty ratio,population below 35 years old ratio,unemploymen ratio,school enrollment ratio
0,ALBANY PARK,49806,24673,28612,2726,7488,22399,7832,6827,1447,27686,13066,47967,319.97058823529414,-87.71926663529412,41.96751355882353,0.49538208248002247,0.5744689394852026,0.054732361562863915,0.1503433321286592,0.4497249327390274,0.1572501305063647,0.13707183873428905,0.052264682511016396,0.2723956053119853
1,ARCHER HEIGHTS,13726,6679,7791,213,830,10626,2059,2164,539,6456,4013,13004,300.2,-87.72679769999999,41.80561002,0.4865947836223226,0.5676089173830686,0.015517995045898295,0.06046918257321871,0.7741512458108699,0.15000728544368352,0.15765700131137986,0.08348822800495663,0.3085973546601046
2,ARMOUR SQUARE,13538,6970,2118,1135,9886,585,4440,1198,524,6367,2733,13085,420.375,-87.6337887625,41.843868025,0.5148470970601271,0.156448515290294,0.08383808538927463,0.7302408036637613,0.043211700398877236,0.327965726104299,0.08849165312453834,0.08229935605465682,0.2088651127244937
3,ASHBURN,43356,22852,12516,19969,426,17918,5462,6920,2471,22305,12607,41692,353.07142857142856,-87.71176400357142,41.744870424999995,0.5270781437401975,0.28867976750622754,0.4605821570255559,0.009825629670633822,0.41327613248454653,0.1259802564812252,0.15960882000184518,0.11078233579914817,0.3023841504365346
4,AUBURN GRESHAM,45909,24859,920,43966,163,1001,11613,6237,3239,20082,11377,44348,219.1875,-87.6570688625,41.74555429166667,0.5414842405628526,0.0200396436428587,0.9576771439151365,0.003550502080202139,0.021804003572284302,0.2529569365483892,0.13585571456577142,0.1612887162633204,0.256539190042392
5,AUSTIN,93727,50549,11059,73382,466,14113,25490,13152,5315,42065,23006,90063,236.26190476190476,-87.76270860714286,41.895396496428575,0.5393216469107087,0.11799161394262059,0.782933412997322,0.004971886436138999,0.15057560788246716,0.2719600541999637,0.1403224257684552,0.12635207417092595,0.2554434118339385
6,AVALON PARK,9713,5529,93,9390,70,9,2068,1010,642,4414,1968,9145,206.5,-87.5862569,41.74326887,0.5692371049109441,0.009574796664264388,0.9667455986821786,0.007206836198908679,0.000926593225573973,0.2129105322763307,0.10398435086996809,0.14544630720434978,0.21519956260251505
7,AVONDALE,38118,18978,28459,982,1623,21471,5839,4807,1010,22630,8905,36578,307.6923076923077,-87.71264841153847,41.937572169230776,0.49787501967574377,0.746602654913689,0.025762107140983263,0.042578309460097594,0.563277191877853,0.15318222362138623,0.12610840023086206,0.044631020768890854,0.24345234840614577
8,BELMONT CRAGIN,78601,39493,44910,2677,1614,63806,12787,12807,2550,40447,22260,75576,357.02127659574467,-87.76242870851064,41.927191278723406,0.5024490782560018,0.5713667765041157,0.03405809086398392,0.0205340898970751,0.8117708426101449,0.16268240862075545,0.1629368583096907,0.0630454669073108,0.29453794855509685
9,BEVERLY,19791,10427,12103,6808,160,978,995,2645,456,10302,4791,19127,273.4736842105263,-87.67495756842106,41.71155877894737,0.5268556414531858,0.611540599262291,0.34399474508615024,0.008084482845737961,0.04941640139457329,0.05027537769693295,0.13364660704360568,0.0442632498543972,0.2504836095571705
10,BRIDGEPORT,34540,17352,16052,1061,13745,7558,5276,3660,1378,19261,8438,33652,289.85185185185185,-87.64764593703704,41.8358596037037,0.5023740590619572,0.4647365373480023,0.030718008106543137,0.3979444122756225,0.2188187608569774,0.1527504342790967,0.10596409959467284,0.07154353356523545,0.25074289789611315
11,BRIGHTON PARK,44156,21460,20276,986,4539,35720,9963,7474,1963,20673,13188,42398,328.5,-87.6972315,41.816334663333336,0.4860041670441163,0.45919014403478575,0.022329921188513454,0.10279463719539814,0.8089500860585198,0.22563185071111513,0.16926352024639912,0.09495477192473274,0.3110524081324591
12,BURNSIDE,2006,1012,49,1931,0,39,315,96,201,998,284,1989,207.5,-87.5970644,41.7276729,0.5044865403788634,0.024426719840478565,0.9626121635094715,0.0,0.019441674975074777,0.15702891326021934,0.047856430707876374,0.20140280561122245,0.14278531925590748
13,CALUMET HEIGHTS,12815,7122,488,12142,9,477,1868,1438,563,6268,2629,12601,186.0625,-87.57576058125,41.73041383125,0.5557549746390948,0.03808037456106125,0.9474834178696839,0.0007023019898556379,0.03722200546234881,0.14576667967225906,0.11221225126804527,0.08982131461391193,0.2086342353781446
14,CHATHAM,30967,16965,709,29711,124,262,8273,3774,2336,14910,7017,29782,197.0,-87.61146119375,41.740997421875,0.5478412503632899,0.02289534020085898,0.9594406949333161,0.004004262602124843,0.008460619369005716,0.2671553589304744,0.12187166984208997,0.15667337357478203,0.23561211470015445
15,CHICAGO LAWN,51352,27093,14255,22507,265,26481,12002,8917,4628,24097,13953,48968,253.88372093023256,-87.69517400465116,41.77400885348837,0.5275938619722699,0.2775938619722698,0.4382886742483253,0.005160461131017292,0.5156761177753544,0.2337202056395077,0.17364464869917431,0.19205710254388514,0.2849411860807058
16,CLEARING,24976,12815,17992,602,137,13502,2293,3551,1089,12428,6353,23936,298.2,-87.766270615,41.778314785,0.5130925688661114,0.7203715566944267,0.024103139013452915,0.0054852658552210125,0.5405989750160154,0.09180813581037796,0.14217648942985267,0.08762471837785646,0.2654161096256685
17,DOUGLAS,21353,11521,2862,14251,3184,730,7624,2851,1287,9834,7526,20620,175.25,-87.618737315,41.834031429999996,0.53954947782513,0.1340326886151829,0.6674003652882499,0.14911253688006368,0.03418723364398445,0.35704584835854447,0.13351753851917764,0.13087248322147652,0.3649854510184287
18,DUNNING,43445,22344,35602,1009,2596,12855,2988,5465,796,23177,10197,42176,309.2857142857143,-87.80575003428572,41.94547146857143,0.5143054436644032,0.819472896766026,0.023224766946714236,0.05975371158936586,0.2958913568880193,0.068776614109794,0.12579123029117276,0.03434439314837986,0.24177257207890743
19,EAST GARFIELD PARK,18940,10377,1349,16828,119,537,8042,3398,1248,7308,5522,18003,220.05555555555554,-87.70478503888889,41.87839023888889,0.5478880675818374,0.07122492080253431,0.8884899683210137,0.006282998944033791,0.028352692713833158,0.42460401267159453,0.17940865892291447,0.17077175697865354,0.30672665666833304
20,EAST SIDE,23723,12038,19671,937,107,19446,4637,4258,1212,10547,7638,22875,335.875,-87.53513591875,41.7034824,0.5074400370948026,0.8291952957045905,0.03949753403869662,0.00451039076002192,0.8197108291531425,0.19546431732917421,0.17948826033806853,0.11491419360955722,0.3339016393442623
21,EDGEWATER,57649,27921,39322,7160,7237,8673,8090,4916,1787,35636,11737,56267,224.70212765957447,-87.66111371489362,41.98708344255319,0.4843275685614668,0.6820933580807993,0.12419989939114295,0.12553556870023763,0.1504449339971205,0.14033200922826067,0.08527467952609759,0.050145919856325064,0.20859473581317647
22,EDISON PARK,11264,5712,10338,42,387,1131,398,1309,99,6376,2429,10843,294.1,-87.81347105,42.00874978,0.5071022727272727,0.9177911931818182,0.003728693181818182,0.034357244318181816,0.10040838068181818,0.035333806818181816,0.1162109375,0.015526976160602259,0.22401549386701097
23,ENGLEWOOD,22921,12150,460,21764,68,846,9317,3707,2198,8587,5546,21893,120.55263157894737,-87.64452680263157,41.77575167105263,0.530081584573099,0.02006893242005148,0.9495222721521749,0.0029667117490510884,0.03690938440731207,0.4064831377339558,0.16172941843724095,0.2559683242110167,0.2533229799479286
24,FOREST GLEN,19384,10193,15653,231,2081,2933,933,2727,342,10002,4850,18733,308.29411764705884,-87.75483818235294,41.99302587647059,0.5258460586050351,0.8075216673545192,0.011917044985555098,0.10735658274865868,0.15131035905901774,0.048132480396203055,0.14068303755674783,0.03419316136772645,0.2589014039395719
25,FULLER PARK,2330,1185,149,2160,0,119,747,246,208,852,447,2269,118.5,-87.63237194999999,41.809122975,0.5085836909871244,0.06394849785407725,0.927038626609442,0.0,0.051072961373390555,0.32060085836909874,0.1055793991416309,0.24413145539906103,0.19700308505949757
26,GAGE PARK,37478,18618,19903,1647,293,34222,6605,7246,2335,17831,11065,35598,330.0869565217391,-87.69642395217392,41.79430774782609,0.4967714392443567,0.5310582208228828,0.04394578152516143,0.007817919846309834,0.9131223651208709,0.17623672554565345,0.19334009285447462,0.13095171330828334,0.3108320692173718
27,GARFIELD RIDGE,37207,18577,26774,2049,450,18971,3127,5131,1530,18880,9204,35814,264.05882352941177,-87.77129699411765,41.795800488235294,0.49928776843067163,0.7195957749885774,0.05507028247372806,0.012094498347085226,0.5098771736501196,0.08404332518074556,0.1379041578197651,0.08103813559322035,0.2569944714357514
28,GRAND BOULEVARD,22643,13245,970,20757,169,513,6461,3497,1530,10873,5705,21736,190.25,-87.6177169375,41.81217670833333,0.5849489908581018,0.04283884644260919,0.9167071501126176,0.0074636753080422205,0.02265600847944177,0.2853420483151526,0.15444066598948902,0.14071553389129035,0.26246779536253223
29,GREATER GRAND CROSSING,30149,16790,360,28894,4,524,10112,4311,2829,13941,7908,29316,190.30555555555554,-87.61727980277777,41.76123369444444,0.5569007263922519,0.011940694550399682,0.9583734120534678,0.0001326743838933298,0.017380344290026203,0.3354008424823377,0.14298981724103618,0.20292661932429523,0.2697503069995907
30,HEGEWISCH,9089,4407,7871,386,22,5491,1648,1076,256,4115,2233,8802,280.875,-87.545484125,41.6578651875,0.4848718230828474,0.865991858290241,0.042468918472879306,0.0024205083067444164,0.6041368687424359,0.1813180767961272,0.11838486082077236,0.06221142162818955,0.2536923426493979
31,HERMOSA,23481,11227,12334,1359,578,19362,3919,3085,803,12771,5806,22564,304.2352941176471,-87.7339278882353,41.92404874117648,0.4781312550572804,0.525275754865636,0.05787658106554235,0.024615646693070994,0.8245815765938418,0.16690089859886717,0.1313828201524637,0.06287683031869079,0.25731253323878744
32,HUMBOLDT PARK,55364,28748,16397,18372,395,32318,13874,8847,3154,27466,15426,53059,273.0232558139535,-87.7212065627907,41.90198847674419,0.5192543891337331,0.2961671844519905,0.33184018495773426,0.007134600101148761,0.5837367242251282,0.25059605519832384,0.15979697998699516,0.1148328842933081,0.2907329576509169
33,HYDE PARK,27482,14557,14589,7416,3762,2047,5560,4149,944,15535,10962,27014,186.3913043478261,-87.59160075652174,41.79621827826087,0.5296921621424933,0.5308565606578851,0.26984935594207116,0.1368896004657594,0.07448511753147515,0.2023142420493414,0.1509715450112801,0.06076601223044738,0.40578959058266084
34,IRVING PARK,53530,26874,38505,1915,4618,22426,4820,6853,1203,31789,11903,51443,274.2888888888889,-87.72082858222223,41.95344405777778,0.502036241359985,0.7193162712497665,0.03577433215019615,0.08626938165514665,0.41894264898187933,0.09004296656080703,0.12802167009153745,0.03784327912170877,0.23138230663063974
35,JEFFERSON PARK,27503,14172,21156,314,2634,6806,2639,3512,673,15070,6315,26466,301.09090909090907,-87.77164155454545,41.97788897727273,0.5152892411736901,0.769225175435407,0.011416936334218085,0.0957713703959568,0.2474639130276697,0.09595316874522779,0.12769516052794241,0.044658261446582616,0.2386080253910678
36,KENWOOD,15755,8729,3267,11068,706,395,3164,1968,969,8388,3662,15092,271.9166666666667,-87.59760530833334,41.808850299999996,0.554046334496985,0.2073627419866709,0.7025071405902888,0.04481117105680736,0.02507140590288797,0.20082513487781656,0.12491272611869247,0.11552217453505007,0.24264510999204877
37,LAKE VIEW,101365,49843,85791,4121,7119,8703,8130,7157,2153,75899,17794,97494,207.1,-87.65242461375,41.94326796875,0.491718048636117,0.8463572238938489,0.04065505845212845,0.0702313421792532,0.08585803778424506,0.08020519903319687,0.07060622502836285,0.02836664514683988,0.1825137957207623
38,LINCOLN PARK,69465,34119,57843,3481,5024,4340,5764,6708,1255,46846,15833,67228,232.98039215686273,-87.64768399411766,41.92299144901961,0.49116821420859424,0.8326927229540056,0.050111566976175054,0.07232419203915641,0.062477506658029223,0.08297703879651623,0.09656661628158066,0.02678990735601759,0.23551198905218063
39,LINCOLN SQUARE,42103,21573,32080,1580,3895,7611,3347,3918,1206,27366,7440,39887,245.21621621621622,-87.68796357297298,41.971565789189185,0.5123862907631285,0.761940954326295,0.0375270170771679,0.0925112224782082,0.18077096643944612,0.07949552288435503,0.09305750184072394,0.04406928305196229,0.18652693860154937
40,LOGAN SQUARE,72336,35607,58155,3495,2944,28312,9225,7357,1683,48489,14272,69323,230.31147540983608,-87.70356057540984,41.92278787377049,0.49224452554744524,0.8039565361645654,0.04831619110816191,0.0406989604069896,0.3913957089139571,0.12752986065029862,0.10170592789205928,0.03470890305017633,0.20587683741326832
41,LOOP,38655,20075,26481,3080,7132,3398,4123,4080,1281,25984,10341,37785,545.5384615384615,-87.62500914615384,41.87750591538462,0.5193377312120037,0.6850601474582848,0.07967921355581425,0.184503945155866,0.08790583365670676,0.10666149269176045,0.10554908808692277,0.049299568965517244,0.27368003175863437
42,LOWER WEST SIDE,33203,16141,17163,1270,1336,23327,5711,3816,1153,19679,8761,32305,280.625,-87.66822280000001,41.85380829583333,0.486130771315845,0.5169111224889317,0.03824955576303346,0.04023732795229347,0.702556997861639,0.17200252989187725,0.11492937385176039,0.05859037552721175,0.2711964092245782
43,MCKINLEY PARK,15177,7642,6567,259,3632,8552,2766,2185,614,8115,3843,14563,317.3636363636364,-87.67397237272728,41.829149745454544,0.5035250708308625,0.43269420834156946,0.017065296171838967,0.2393094814521974,0.5634842195427291,0.18224945641431112,0.14396784608288857,0.07566235366605052,0.2638879351781913
44,MONTCLARE,14267,7538,9334,387,458,8552,1682,1868,388,7275,3097,13481,296.8181818181818,-87.79851808181819,41.92991117272727,0.5283521413051097,0.6542370505362024,0.02712553445012967,0.03210205369033434,0.5994252470736665,0.11789444171865143,0.13093152029158198,0.05333333333333334,0.22973073214153253
45,MORGAN PARK,21839,12117,7574,13345,61,991,2405,3121,1075,10485,5308,21086,224.82608695652175,-87.66966907391304,41.690863147826086,0.5548330967535143,0.3468107514080315,0.611062777599707,0.0027931681853564723,0.04537753560144695,0.11012408993085764,0.14290947387700903,0.10252742012398665,0.25173100635492746
46,MOUNT GREENWOOD,19190,9839,17640,720,354,2010,940,3081,401,9865,5346,18375,270.70588235294116,-87.70818517058824,41.69577484705882,0.5127149557060969,0.9192287649817613,0.03751954142782699,0.018447107868681607,0.10474205315268369,0.04898384575299635,0.16055237102657635,0.04064875823618855,0.2909387755102041
47,NEAR NORTH SIDE,93318,48985,69182,7822,12606,5257,8698,4630,1819,65253,13664,90622,278.828125,-87.6289044609375,41.90054435625,0.5249255234788572,0.7413575087335776,0.08382091343577873,0.13508647849289526,0.05633425491330719,0.09320816991362867,0.04961529394114748,0.02787611297564863,0.15078016375714506
48,NEAR SOUTH SIDE,24729,14035,13953,6128,3470,1377,1829,1811,64,17229,4004,24192,843.7142857142857,-87.62222762857142,41.85876834285715,0.5675522665696147,0.5642363217275264,0.2478062194184965,0.1403210805127583,0.0556836103360427,0.0739617453192608,0.07323385498807068,0.003714667131000058,0.16550925925925927
49,NEAR WEST SIDE,63170,32386,31311,17080,11292,5839,12560,7986,2466,39082,18501,60748,284.1794871794872,-87.66453728205127,41.87502327692308,0.5126800696533165,0.4956624980212126,0.27038151021054296,0.17875573848345733,0.09243311698591103,0.19882855785974354,0.12642076935254076,0.06309810142776726,0.3045532363205373
50,NEW CITY,39508,19312,19003,9318,770,24280,11153,6477,3103,18910,10021,37646,223.1081081081081,-87.66181116756756,41.80483457837838,0.48881239242685026,0.48099119165738585,0.2358509668927812,0.019489723600283487,0.6145590766427053,0.28229725625189833,0.16394148020654045,0.16409307244843999,0.26619029910216224
51,NORTH CENTER,35543,18220,30717,786,1765,4070,1662,4871,572,21857,8659,33717,289.4642857142857,-87.68228662142857,41.94797425357143,0.512618518414315,0.8642208029710492,0.022114059027093944,0.04965816053793996,0.11450918605632614,0.04676026221759559,0.1370452691106547,0.026170105686965275,0.2568140700536821
52,NORTH LAWNDALE,32073,17609,2494,27760,62,2966,12038,5335,2083,13137,8934,30797,210.3030303030303,-87.71695039393938,41.85975497272727,0.5490287780999594,0.07776010974963365,0.8655255199077105,0.0019330901381224082,0.09247653789792037,0.3753312755277024,0.1663392884981137,0.1585597929512065,0.29009319089521707
53,NORTH PARK,18914,9846,12189,523,4776,3807,2662,2329,517,9059,4893,18108,328.15384615384613,-87.71720847692308,41.98404432307692,0.5205667759331712,0.6444432695357936,0.027651475097811146,0.252511367241197,0.20127947552077827,0.14074230728560855,0.12313630115258539,0.057070316812010156,0.27021206096752814
54,NORWOOD PARK,37924,19636,33179,377,1625,5741,2590,4081,738,20145,7987,36492,276.1142857142857,-87.80090356285714,41.98530069714286,0.5177723868790212,0.8748813416306297,0.009940934500580107,0.04284885560594874,0.15138171079000107,0.0682944837042506,0.10760995675561649,0.03663440059568131,0.21886988929080348
55,OAKLAND,7227,4118,439,6647,71,300,1780,1243,563,3673,2425,6879,267.0,-87.60280660000001,41.82361198333333,0.5698076656980766,0.060744430607444305,0.919745399197454,0.009824270098242702,0.04151100041511,0.24629860246298602,0.1719939117199391,0.1532806969779472,0.3525221689199011
56,OHARE,16328,7733,12921,457,1687,3924,2231,1792,555,9544,2917,15411,412.4,-87.8630157,41.9788074,0.47360362567368935,0.7913400293973543,0.02798873101420872,0.10331945124938756,0.24032337089661931,0.13663645271925526,0.10975012248897599,0.058151718357082986,0.18928038414119785
57,PORTAGE PARK,64605,32781,44709,1128,3606,28010,5986,8232,2008,36265,15524,62399,293.61538461538464,-87.7633222423077,41.95301694230769,0.5074065474808451,0.6920362201068029,0.017459948920362203,0.055816113303923845,0.4335577741660862,0.09265536723163842,0.12742047829115394,0.05537019164483662,0.24878603823779227
58,PULLMAN,6840,3826,1016,5572,9,377,1295,801,606,3983,1462,6627,205.0,-87.60012725,41.7061184375,0.5593567251461988,0.14853801169590644,0.8146198830409357,0.0013157894736842105,0.05511695906432749,0.18932748538011696,0.11710526315789474,0.15214662314838062,0.22061264523917307
59,RIVERDALE,7359,4782,277,7027,22,258,3873,2006,838,2755,2667,6700,250.42857142857142,-87.60324891428571,41.65515427142857,0.6498165511618427,0.03764098382932464,0.9548851746161163,0.0029895366218236174,0.03505911129229515,0.5262943334692214,0.272591384699008,0.3041742286751361,0.39805970149253733
60,ROGERS PARK,55475,27882,31150,15523,2732,10887,13343,7636,1734,32157,15653,53842,279.0,-87.66923768333334,42.00979629444444,0.5026047769265435,0.5615141955835962,0.27981973862100046,0.049247408742676885,0.19625056331680937,0.2405227579990987,0.13764758900405588,0.05392294057281463,0.29072099847702537
61,ROSELAND,39162,20754,704,37518,165,459,9036,5367,3700,18232,10043,37739,197.95348837209303,-87.62390367209302,41.7036960627907,0.5299525049793167,0.017976609979061337,0.9580205301057148,0.0042132679638425,0.011720545426689138,0.2307338746744293,0.13704611613298606,0.20293988591487494,0.2661172792071862
62,SOUTH CHICAGO,29936,16602,5422,23074,104,5914,8373,5222,2210,13650,8202,28436,206.4516129032258,-87.5578309548387,41.74269700967742,0.5545831106360235,0.18111972207375734,0.7707776590058792,0.00347407803313736,0.19755478353821485,0.27969668626402994,0.17443880277926244,0.1619047619047619,0.28843719229146153
63,SOUTH DEERING,15475,8917,4765,10168,0,4767,4748,2999,1395,6585,4721,15000,329.27272727272725,-87.56441043636363,41.712040245454546,0.5762197092084006,0.30791599353796445,0.657059773828756,0.0,0.3080452342487884,0.30681744749596124,0.19379644588045233,0.21184510250569477,0.3147333333333333
64,SOUTH LAWNDALE,72157,30758,34867,9483,95,59873,17540,11181,2391,27368,18501,68991,311.90697674418607,-87.71301357674419,41.84420286046512,0.4262649500394972,0.48321022215446874,0.13142176088252006,0.0013165735826045984,0.8297601064345802,0.24308105935668056,0.15495378133791593,0.08736480561239404,0.26816541287994083
65,SOUTH SHORE,52454,29848,1906,49213,167,1265,16679,7600,4105,25687,12891,50383,200.75510204081633,-87.57390176938776,41.76342934489796,0.5690319136767453,0.0363365996873451,0.9382125290730926,0.0031837419453235216,0.024116368627750028,0.3179738437488085,0.14488885499675908,0.15980846342507884,0.255860111545561
